vehicle_id,vehicle_model_id,model_name,erp_record_created_at_utc_observed_not_acquisition,vehicle_registration_date_observed_not_acquisition,erp_soft_deleted_at_utc_observed_not_sale,acquisition_date,acquisition_date_status,purchase_price_krw,purchase_price_status,sale_or_disposal_date,sale_or_disposal_date_status,sale_price_krw,sale_price_status,holding_period_days,holding_period_status,classification
7971,2021,20년 K5(LPG) 청주지점,2024-10-10 10:47:10.959445,2016-06-27,2025-04-22 02:04:08,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
7972,2100,업무용차량,2024-10-10 10:47:10.979695,2016-06-27,2025-04-08 10:10:06,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
7973,1844,16/18년 올뉴그랜드카니발11인(경유),2024-10-10 10:47:11.002527,2016-06-27,2025-08-28 07:16:01,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
7974,1844,16/18년 올뉴그랜드카니발11인(경유),2024-10-10 10:47:11.019579,2018-03-19,2025-08-28 07:16:13,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
7975,1844,16/18년 올뉴그랜드카니발11인(경유),2024-10-10 10:47:11.037342,2018-03-19,2025-08-28 07:16:17,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
7976,2021,20년 K5(LPG) 청주지점,2024-10-10 10:47:11.057099,2017-04-19,2025-06-23 07:17:39,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
7977,2100,업무용차량,2024-10-10 10:47:11.120057,2017-04-19,2025-05-15 01:36:56,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
7978,1843,16/18년 올뉴카니발9인(경유),2024-10-10 10:47:11.137843,2018-03-23,2025-04-08 05:14:32,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
7979,1843,16/18년 올뉴카니발9인(경유),2024-10-10 10:47:11.157460,2018-03-23,2025-04-08 05:14:33,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
7980,1843,16/18년 올뉴카니발9인(경유),2024-10-10 10:47:11.178074,2018-03-23,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
7981,2100,업무용차량,2024-10-10 10:47:11.197630,2018-03-19,2025-08-25 23:55:33,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
7982,1843,16/18년 올뉴카니발9인(경유),2024-10-10 10:47:11.217066,2016-01-21,2025-04-08 05:15:05,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
