snapshot_date_utc,snapshot_at_utc,vehicle_model_id,model_name,vehicle_class,current_non_deleted_vehicle_count,usable_state_count,unusable_state_count,currently_assigned_vehicle_count_strong_join,current_assignment_share_proxy_formula,metric_classification,limitation
2026-08-18,2026-08-18 06:17:45 UTC,1843,16/18년 올뉴카니발9인(경유),RV,1,1,0,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,1846,18/19년 쏠라티(15인/경유),RV,3,3,0,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,1847,18년 올뉴카니발리무진7인(경유),RV,7,7,0,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,1854,19년 더뉴그랜드스타렉스12인(경유),RV,2,2,0,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,1859,19년 더뉴카니발리무진7인(경유),RV,5,5,0,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,2225,19년 올뉴K3(휘),COMPACT,9,9,0,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,1878,20/21년 BMW Z4 로드스터(휘),IMPORTED,2,2,0,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,1873,20년 K5(LPG),MIDSIZE,8,8,0,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,2021,20년 K5(LPG) 청주지점,MIDSIZE,5,3,2,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,1869,20년 K5(휘),MIDSIZE,10,0,10,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,1845,20년 SM6(휘),MIDSIZE,2,2,0,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,1871,20년 더 뉴 그랜저(LPG),LUXURY,3,3,0,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,1868,20년 더 뉴 그랜저(휘),LUXURY,4,4,0,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,1872,20년 베리뉴티볼리(경유),SUV,4,2,2,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,1875,20년 벤츠 C클래스 카브리올레(휘),IMPORTED,4,4,0,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,1866,20년 셀토스(휘),SUV,4,3,1,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,1864,20년 쏘나타DN8(LPG),MIDSIZE,14,14,0,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,1863,20년 쏘나타DN8(휘),MIDSIZE,7,5,2,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
2026-08-18,2026-08-18 06:17:45 UTC,1876,20년 올뉴k3(휘),COMPACT,10,10,0,0,0.0,derived_from_observed_current_snapshot,Single UTC snapshot only; not historical fleet availability or true utilization.
