sheet_name,field_name,description_ko,data_type,unit_or_timezone,classification,formula_or_provenance,null_meaning
01_vehicle_master,vehicle_id,ERP internal vehicle surrogate key; plate number excluded.,integer,id,observed,vehicle.id,Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,vehicle_model_id,ERP vehicle model surrogate key.,integer,id,observed,vehicle_model.id / reservation.vehicle_model_id,Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,model_name,model name,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,model_title,model title,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,vehicle_class,vehicle class,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,manufacturer,manufacturer,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,fuel,fuel,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,transmission,transmission,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,seat_count,seat count,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,capacity_raw,capacity raw,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,branch_id,branch id,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,branch_name,branch name,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,vehicle_state_observed,vehicle state observed,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,model_state_observed,model state observed,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,erp_soft_deleted_at_utc,ERP soft deletion timestamp. Never treated as sale/disposal date.,datetime,UTC,observed,vehicle.deleted_at,Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,current_status_derived,Soft-deleted records are explicitly labeled not sale-verified; otherwise vehicle.state.,text,enum,derived,vehicle.deleted_at + vehicle.state,Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,is_current_erp_record_derived,is current erp record derived,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,current_assignment_snapshot_at_utc,current assignment snapshot at utc,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,active_assigned_reservation_count_at_snapshot,active assigned reservation count at snapshot,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,is_assigned_at_snapshot_derived,is assigned at snapshot derived,text_or_numeric,see field name,observed_or_method_label,"ERP MySQL read-only, company.id=7 (제주로렌트카), queried 2026-08-18; see methodology",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,current_mileage_km_observed,Current ERP mileage; source zero normalized to blank.,integer,km,observed,"NULLIF(vehicle.mileage,0)",Unavailable/not applicable/not populated; see status/limitation columns.
01_vehicle_master,vehicle_registration_date_observed,Vehicle registration date field. Never treated as acquisition date.,date,date,observed,vehicle.registered_at,Unavailable/not applicable/not populated; see status/limitation columns.
