vehicle_id,vehicle_model_id,model_name,vehicle_class,maintenance_event_count,first_maintenance_incoming_at_utc,last_maintenance_release_at_utc,maintenance_cost_krw_sum_observed,legacy_part_price_krw_sum_observed,detail_part_price_krw_sum_observed,mileage_observation_count,min_maintenance_mileage_km,max_maintenance_mileage_km,insurance_cost_krw,insurance_cost_status,classification,cost_warning
7971,2021,20년 K5(LPG) 청주지점,MIDSIZE,32,2017-10-19 00:00:00,2024-11-21 07:21:00,1100,0,0,32,31522,177758,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7972,2100,업무용차량,CITY,28,2017-11-30 00:00:00,2024-11-26 09:58:00,0,0,0,27,34822,174624,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7973,1844,16/18년 올뉴그랜드카니발11인(경유),RV,36,2017-11-11 00:00:00,2025-05-03 03:52:00,0,0,0,36,35264,174147,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7974,1844,16/18년 올뉴그랜드카니발11인(경유),RV,25,2018-09-12 00:00:00,2025-02-20 00:00:00,0,0,0,25,14720,124802,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7975,1844,16/18년 올뉴그랜드카니발11인(경유),RV,20,2018-08-17 00:00:00,2025-03-18 00:00:00,0,0,0,20,11964,174550,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7976,2021,20년 K5(LPG) 청주지점,MIDSIZE,21,2018-07-10 00:00:00,2024-08-08 00:00:00,0,0,0,21,32658,147227,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7977,2100,업무용차량,CITY,21,2018-07-12 00:00:00,2024-10-24 09:13:00,55000,0,0,21,34519,148069,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7978,1843,16/18년 올뉴카니발9인(경유),RV,23,2018-05-16 00:00:00,2025-03-26 06:26:00,0,0,0,23,3947,155492,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7979,1843,16/18년 올뉴카니발9인(경유),RV,21,2018-10-04 00:00:00,2025-03-25 00:00:00,0,0,0,21,17156,150534,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
7980,1843,16/18년 올뉴카니발9인(경유),RV,28,2018-09-05 00:00:00,2026-02-04 01:53:00,0,0,0,28,16204,165035,,unavailable,observed_aggregate,Do not add maintenance_cost and detail_part_price unless Jejuro confirms whether cost already includes parts.
