vehicle_model_id,model_name,vehicle_class,all_reservation_count,valid_reservation_count,canceled_reservation_count,pending_reservation_count,first_pickup_at_utc,last_observed_dropoff_at_utc,valid_rows_with_final_price,valid_booked_final_price_krw_sum_proxy,average_booked_final_price_krw_formula,valid_booked_rental_hours_sum,valid_joined_vehicle_count_reserved_or_assigned,customer_insurance_fee_krw_sum_not_cost,true_utilization_rate,true_utilization_status,join_method,classification
1844,16/18년 올뉴그랜드카니발11인(경유),RV,8293,5392,2708,193,2019-01-01 06:00:00,2025-12-31 14:59:00,5388,844478374,156733.18002969562,332909.22,26,29250870,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1843,16/18년 올뉴카니발9인(경유),RV,26112,17731,7794,587,2018-12-31 23:00:00,2029-04-30 11:00:00,17728,2709650806,152845.82615072202,1104435.33,65,106696090,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2024,16년 싼타페DM5인[경유],CITY,1629,1110,500,19,2019-01-01 03:30:00,2023-12-31 00:00:00,1110,178566367,160870.6009009009,66685.08,4,12005440,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2022,16년 올뉴K5[LPG],CITY,22486,16686,5453,347,2018-12-31 23:00:00,2023-12-31 14:59:00,16686,1402280655,84039.35364976627,1026915.92,83,73475710,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2043,16년 올뉴K7[휘],CITY,2099,1444,628,27,2019-01-01 01:00:00,2023-01-31 00:00:00,1444,189299606,131093.90997229918,82171.83,6,14467900,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2045,17/18 i30[휘],CITY,3315,2249,1011,55,2019-01-01 01:00:00,2022-12-31 00:00:00,2249,163178629,72556.08225878168,132251.42,10,9320810,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2025,17/18 쏘나타뉴라이즈[휘],CITY,6406,4701,1589,116,2018-12-31 23:00:00,2024-01-31 00:00:00,4701,496231763,105558.7668581153,281393.38,15,27912510,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1979,17~19년 그랜져IG[LPG],CITY,5103,3667,1320,116,2019-01-01 02:00:00,2024-12-31 14:59:00,3667,468082974,127647.38860103628,217426.33,10,25141400,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1981,17년 올뉴스포티지[경유],CITY,2645,1879,726,40,2019-01-01 01:45:00,2024-12-31 00:00:00,1879,238651854,127010.03406067057,109801.67,7,10081850,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1980,17년 올뉴쏘렌토5인[경유],CITY,3638,2471,1092,75,2018-12-31 23:30:00,2024-12-31 00:00:00,2471,377188629,152646.14690408742,145282.67,6,18647700,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
