vehicle_id,vehicle_model_id,model_name,vehicle_class,valid_reservation_count_strong_join,first_pickup_at_utc,last_dropoff_at_utc,rows_with_final_price,booked_final_price_krw_sum_proxy,average_booked_final_price_krw_formula,booked_rental_hours_sum,mileage_observation_count,observed_driven_km_sum,true_utilization_rate,true_utilization_status,join_method,join_quality,classification
8195,1879,20년 코나(전기),EV,1,2026-08-18 07:00:00,2026-08-23 01:00:00,1,142500,142500.0,114.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8204,1879,20년 코나(전기),EV,1,2026-08-18 08:00:00,2026-08-24 10:00:00,1,177300,177300.0,146.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8264,1845,20년 SM6(휘),MIDSIZE,1,2026-08-18 07:00:00,2026-08-21 09:00:00,1,79800,79800.0,74.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8267,1883,21년 4세대 쏘렌토(7인/휘),SUV,1,2026-08-18 06:30:00,2026-08-24 08:30:00,1,233250,233250.0,146.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8280,1889,21년 벤츠 C클래스 카브리올레(휘),IMPORTED,1,2026-08-18 23:30:00,2026-08-19 23:30:00,1,69000,69000.0,24.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8312,1902,21년 아이오닉5(전기),EV,1,2026-08-18 08:00:00,2026-08-23 02:00:00,1,162250,162250.0,114.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8330,1885,21년 GV70(5인/휘),SUV,1,2026-08-18 07:00:00,2026-08-21 07:00:00,1,126000,126000.0,72.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8331,1885,21년 GV70(5인/휘),SUV,1,2026-08-18 12:00:00,2026-08-22 08:30:00,1,196000,196000.0,92.5,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8378,1896,21년 K3(휘),COMPACT,1,2026-08-18 07:00:00,2026-08-22 09:30:00,1,96730,96730.0,98.5,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8398,1882,21년 올뉴아반떼CN7(휘),COMPACT,1,2026-08-18 11:00:00,2026-08-25 01:00:00,1,190910,190910.0,158.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8493,1905,22년 EV6(전기),EV,1,2024-12-17 03:00:49,2024-12-19 03:00:49,1,77000,77000.0,48.0,1,255,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8496,1905,22년 EV6(전기),EV,1,2026-08-18 07:00:00,2026-08-22 06:00:00,1,179500,179500.0,95.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8502,1905,22년 EV6(전기),EV,1,2026-08-18 23:00:00,2026-08-21 11:00:00,1,99120,99120.0,60.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8511,1905,22년 EV6(전기),EV,1,2024-12-12 02:00:00,2024-12-14 03:00:00,1,64400,64400.0,49.0,1,298,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8513,1906,22년 k3(휘),COMPACT,1,2026-08-18 07:30:00,2026-08-19 23:00:00,1,41600,41600.0,39.5,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
