utm_source_first,canonical_users,reservation_users,paid_users,avg_event_count,reservation_rate,paid_user_rate,paid_after_reservation_rate
(unknown),33504,7775,2210,2.9596466093600764,0.23206184336198662,0.06596227316141356,0.2842443729903537
google,29007,1284,387,4.998655496949012,0.04426517737097942,0.013341607198262488,0.3014018691588785
app,1753,570,330,28.04962920707359,0.32515687393040504,0.18824871648602395,0.5789473684210527
INFLUENCER,34,13,10,47.911764705882355,0.38235294117647056,0.29411764705882354,0.7692307692307693
{{site_source_name}},185,10,6,8.372972972972972,0.05405405405405406,0.032432432432432434,0.6
whatsapp,13,6,6,13.23076923076923,0.46153846153846156,0.46153846153846156,1.0
BFF,69,6,5,8.101449275362318,0.08695652173913043,0.07246376811594203,0.8333333333333334
shuttle-blog,31,10,5,39.483870967741936,0.3225806451612903,0.16129032258064516,0.5
ig,316,6,2,2.471518987341772,0.0189873417721519,0.006329113924050633,0.3333333333333333
fb,2547,4,1,1.2783667059285433,0.0015704750687082843,0.00039261876717707107,0.25
email,22,1,1,4.090909090909091,0.045454545454545456,0.045454545454545456,1.0
chatgpt.com,52,0,0,4.865384615384615,0.0,0.0,
superalink,40,0,0,1.875,0.0,0.0,
trustpilot,33,0,0,2.0303030303030303,0.0,0.0,
tt-ads,8,0,0,1.0,0.0,0.0,
an,6,0,0,1.0,0.0,0.0,
tiktok,5,0,0,1.0,0.0,0.0,
instagram,4,0,0,2.75,0.0,0.0,
trustpilot/,3,0,0,1.0,0.0,0.0,
arbstub,2,0,0,1.0,0.0,0.0,
ig_text_post_permalink,2,0,0,1.0,0.0,0.0,
openai,1,0,0,12.0,0.0,0.0,
perplexity,1,0,0,1.0,0.0,0.0,
