language_first,canonical_users,reservation_users,paid_users,avg_event_count,reservation_rate,paid_user_rate,paid_after_reservation_rate
(unknown),7014,7014,1952,0.0,1.0,0.27830054177359564,0.27830054177359564
en,40192,1922,807,5.211260947452229,0.04782046178343949,0.02007862261146497,0.4198751300728408
zh,9327,537,114,6.599978556877882,0.05757478288838855,0.012222579607590866,0.2122905027932961
de,325,26,14,8.753846153846155,0.08,0.043076923076923075,0.5384615384615384
ko,2152,25,13,2.9019516728624537,0.011617100371747211,0.0060408921933085506,0.52
fr,400,28,12,7.2475,0.07,0.03,0.42857142857142855
es,331,28,11,7.848942598187311,0.08459214501510574,0.03323262839879154,0.39285714285714285
nl,145,19,10,13.041379310344828,0.1310344827586207,0.06896551724137931,0.5263157894736842
it,119,18,7,10.789915966386555,0.15126050420168066,0.058823529411764705,0.3888888888888889
ja,219,10,5,7.045662100456621,0.045662100456621,0.0228310502283105,0.5
ru,306,13,4,4.607843137254902,0.042483660130718956,0.013071895424836602,0.3076923076923077
da,31,6,4,22.483870967741936,0.1935483870967742,0.12903225806451613,0.6666666666666666
pt,79,7,3,8.037974683544304,0.08860759493670886,0.0379746835443038,0.42857142857142855
ar,236,2,1,2.0084745762711864,0.00847457627118644,0.00423728813559322,0.5
ca,14,1,1,3.857142857142857,0.07142857142857142,0.07142857142857142,1.0
cy,11,1,1,9.454545454545455,0.09090909090909091,0.09090909090909091,1.0
sv,11,2,1,9.0,0.18181818181818182,0.09090909090909091,0.5
hr,9,2,1,12.444444444444445,0.2222222222222222,0.1111111111111111,0.5
sq,6,1,1,23.166666666666668,0.16666666666666666,0.16666666666666666,1.0
lt,1,1,1,69.0,1.0,1.0,1.0
