utm_medium_first,canonical_users,reservation_users,paid_users,avg_event_count,reservation_rate,paid_user_rate,paid_after_reservation_rate
(unknown),35307,8309,2514,4.066785623247514,0.23533576911094117,0.0712040105361543,0.3025634853773017
cpc,16655,1306,402,7.8848393875713,0.0784148904232963,0.024136895827078956,0.30781010719754975
INFLUENCER,41,20,16,69.4390243902439,0.4878048780487805,0.3902439024390244,0.8
{{placement}},187,12,8,10.903743315508022,0.06417112299465241,0.0427807486631016,0.6666666666666666
referral,71,8,7,9.605633802816902,0.11267605633802817,0.09859154929577464,0.875
blog,25,10,5,48.64,0.4,0.2,0.5
retargeting,7,4,4,22.571428571428573,0.5714285714285714,0.5714285714285714,1.0
social,25,3,2,10.92,0.12,0.08,0.6666666666666666
crm,6,2,2,2.3333333333333335,0.3333333333333333,0.3333333333333333,1.0
paid,2699,6,1,1.2893664320118563,0.002223045572434235,0.0003705075954057058,0.16666666666666666
link,38,2,1,6.552631578947368,0.05263157894736842,0.02631578947368421,0.5
marketing,22,1,1,4.090909090909091,0.045454545454545456,0.045454545454545456,1.0
demandgen,12379,2,0,1.352047822925923,0.00016156393892883107,0.0,0.0
Facebook_Right_Column,132,0,0,1.871212121212121,0.0,0.0,
company_profile,36,0,0,1.9444444444444444,0.0,0.0,
shuttle,4,0,0,2.75,0.0,0.0,
Instagram_Stories,2,0,0,4.5,0.0,0.0,
arbstub,2,0,0,1.0,0.0,0.0,
