stage,rank,users_reached,prev_users,step_conversion_rate,overall_reach_rate,dropoff_from_prev
anonymous_visit,1,67638,,1.0,1.0,0.0
identified_visit,2,19381,67638.0,0.2865401105887223,0.2865401105887223,0.7134598894112777
search_started,3,19218,19381.0,0.9915897012538053,0.2841302226559035,0.0084102987461947
car_clicked,4,15396,19218.0,0.8011239463003434,0.22762352523729265,0.19887605369965655
booking_started,5,9685,15396.0,0.6290594959729799,0.1431887400573642,0.37094050402702006
insurance_viewed,6,9685,9685.0,1.0,0.1431887400573642,0.0
insurance_selected,7,9685,9685.0,1.0,0.1431887400573642,0.0
checkout_started,8,9685,9685.0,1.0,0.1431887400573642,0.0
payment_attempted,9,3139,9685.0,0.3241094475993805,0.0464088234424436,0.6758905524006196
payment_completed,10,2963,3139.0,0.9439311882765212,0.04380673585854106,0.05606881172347877
