dimension,segment,stage,stage_rank,segment_users,segment_reached,segment_rate,rest_rate,diff_pp,z_score,p_value,meets_min_users,q_value,significant_fdr_05,direction,metric
source,(unknown),anonymous_visit,1,33504,33504,1.0,1.0,0.0,0.0,1.0,True,1.0,False,lower,funnel_stage_reach
source,(unknown),identified_visit,2,33504,10899,0.325304441260745,0.24849124040546083,0.07681320085528415,22.09046781003829,3.90332841580212e-108,True,3.452944367824952e-107,True,higher,funnel_stage_reach
source,(unknown),search_started,3,33504,10818,0.3228868194842407,0.2460889435753208,0.0767978759089199,22.142161907588868,1.2413739338319254e-108,True,1.1420640191253714e-107,True,higher,funnel_stage_reach
source,(unknown),car_clicked,4,33504,9749,0.2909801814708691,0.16543622194879007,0.12554395952207906,38.93312587133718,0.0,True,0.0,True,higher,funnel_stage_reach
source,(unknown),booking_started,5,33504,7775,0.23206184336198662,0.0559559383605789,0.17610590500140771,65.3767678036461,0.0,True,0.0,True,higher,funnel_stage_reach
source,(unknown),insurance_viewed,6,33504,7775,0.23206184336198662,0.0559559383605789,0.17610590500140771,65.3767678036461,0.0,True,0.0,True,higher,funnel_stage_reach
source,(unknown),insurance_selected,7,33504,7775,0.23206184336198662,0.0559559383605789,0.17610590500140771,65.3767678036461,0.0,True,0.0,True,higher,funnel_stage_reach
source,(unknown),checkout_started,8,33504,7775,0.23206184336198662,0.0559559383605789,0.17610590500140771,65.3767678036461,0.0,True,0.0,True,higher,funnel_stage_reach
source,(unknown),payment_attempted,9,33504,2300,0.06864851957975167,0.024579598054725493,0.04406892152502617,27.239402349368472,2.2189871746559806e-163,True,2.4303192865279787e-162,True,higher,funnel_stage_reach
source,(unknown),payment_completed,10,33504,2210,0.06596227316141356,0.022060116013359114,0.043902157148054455,27.892607548732045,3.2799844368498432e-171,True,3.771982102377319e-170,True,higher,funnel_stage_reach
source,BFF,anonymous_visit,1,69,69,1.0,1.0,0.0,0.0,1.0,True,1.0,False,lower,funnel_stage_reach
source,BFF,identified_visit,2,69,23,0.3333333333333333,0.2864923263626811,0.04684100697065219,0.8601053361805882,0.3897309799867688,True,0.6139597629928549,False,higher,funnel_stage_reach
source,BFF,search_started,3,69,23,0.3333333333333333,0.2840799775044769,0.04925335582885643,0.9066987329391117,0.3645661336595566,True,0.5915682817125875,False,higher,funnel_stage_reach
source,BFF,car_clicked,4,69,15,0.21739130434782608,0.22763397415974782,-0.010242669811921734,-0.20281169468191726,0.8392822168635103,True,0.9651745493930369,False,lower,funnel_stage_reach
source,BFF,booking_started,5,69,6,0.08695652173913043,0.14324616318134056,-0.05628964144221013,-1.3342412957984802,0.18212478971543317,True,0.36716307656938535,False,lower,funnel_stage_reach
source,BFF,insurance_viewed,6,69,6,0.08695652173913043,0.14324616318134056,-0.05628964144221013,-1.3342412957984802,0.18212478971543317,True,0.36716307656938535,False,lower,funnel_stage_reach
source,BFF,insurance_selected,7,69,6,0.08695652173913043,0.14324616318134056,-0.05628964144221013,-1.3342412957984802,0.18212478971543317,True,0.36716307656938535,False,lower,funnel_stage_reach
source,BFF,checkout_started,8,69,6,0.08695652173913043,0.14324616318134056,-0.05628964144221013,-1.3342412957984802,0.18212478971543317,True,0.36716307656938535,False,lower,funnel_stage_reach
source,BFF,payment_attempted,9,69,5,0.07246376811594203,0.046382216697006026,0.026081551418936005,1.0293307392517512,0.3033242832811568,True,0.5325540851501226,False,higher,funnel_stage_reach
source,BFF,payment_completed,10,69,5,0.07246376811594203,0.043777471917595345,0.028686296198346686,1.1636814296457416,0.24455313786448754,True,0.44480814067172497,False,higher,funnel_stage_reach
source,INFLUENCER,anonymous_visit,1,34,34,1.0,1.0,0.0,0.0,1.0,False,1.0,False,lower,funnel_stage_reach
source,INFLUENCER,identified_visit,2,34,14,0.4117647058823529,0.28647713153067866,0.12528757435167426,1.6153282347705686,0.10623963234084115,False,0.24681934786256024,False,higher,funnel_stage_reach
source,INFLUENCER,search_started,3,34,14,0.4117647058823529,0.28406603159576355,0.12769867428658938,1.6505965586300777,0.09882098205876333,False,0.23192679462770985,False,higher,funnel_stage_reach
source,INFLUENCER,car_clicked,4,34,13,0.38235294117647056,0.2275457073545944,0.15480723382187617,2.1522783427245895,0.031375438509710855,False,0.07676968997056911,False,higher,funnel_stage_reach
source,INFLUENCER,booking_started,5,34,13,0.38235294117647056,0.14306845748772262,0.23928448368874794,3.9824267624146263,6.821514883478404e-05,False,0.0002659234615593276,True,higher,funnel_stage_reach
source,INFLUENCER,insurance_viewed,6,34,13,0.38235294117647056,0.14306845748772262,0.23928448368874794,3.9824267624146263,6.821514883478404e-05,False,0.0002659234615593276,True,higher,funnel_stage_reach
source,INFLUENCER,insurance_selected,7,34,13,0.38235294117647056,0.14306845748772262,0.23928448368874794,3.9824267624146263,6.821514883478404e-05,False,0.0002659234615593276,True,higher,funnel_stage_reach
source,INFLUENCER,checkout_started,8,34,13,0.38235294117647056,0.14306845748772262,0.23928448368874794,3.9824267624146263,6.821514883478404e-05,False,0.0002659234615593276,True,higher,funnel_stage_reach
source,INFLUENCER,payment_attempted,9,34,11,0.3235294117647059,0.046269451511744865,0.277259960252961,7.683092146264497,1.552938021330816e-14,False,9.653398510975344e-14,True,higher,funnel_stage_reach
source,INFLUENCER,payment_completed,10,34,10,0.29411764705882354,0.04368084728714277,0.25043679977168076,7.133212054143719,9.805331424525259e-13,False,5.7826313529251525e-12,True,higher,funnel_stage_reach
source,an,anonymous_visit,1,6,6,1.0,1.0,0.0,0.0,1.0,False,1.0,False,lower,funnel_stage_reach
source,an,identified_visit,2,6,0,0.0,0.2865655311095339,-0.2865655311095339,-1.5523970887908944,0.12056723961290541,False,0.2741463053294191,False,lower,funnel_stage_reach
source,an,search_started,3,6,0,0.0,0.2841554293825408,-0.2841554293825408,-1.5432510837133537,0.1227698671692616,False,0.2741463053294191,False,lower,funnel_stage_reach
source,an,car_clicked,4,6,0,0.0,0.22764371894960966,-0.22764371894960966,-1.3298080034709976,0.18358153828469267,False,0.36716307656938535,False,lower,funnel_stage_reach
source,an,booking_started,5,6,0,0.0,0.14320144310385616,-0.14320144310385616,-1.0013980465276813,0.3166344081403618,False,0.5394512138687646,False,lower,funnel_stage_reach
source,an,insurance_viewed,6,6,0,0.0,0.14320144310385616,-0.14320144310385616,-1.0013980465276813,0.3166344081403618,False,0.5394512138687646,False,lower,funnel_stage_reach
source,an,insurance_selected,7,6,0,0.0,0.14320144310385616,-0.14320144310385616,-1.0013980465276813,0.3166344081403618,False,0.5394512138687646,False,lower,funnel_stage_reach
source,an,checkout_started,8,6,0,0.0,0.14320144310385616,-0.14320144310385616,-1.0013980465276813,0.3166344081403618,False,0.5394512138687646,False,lower,funnel_stage_reach
source,an,payment_attempted,9,6,0,0.0,0.046412940619824934,-0.046412940619824934,-0.5403984016452072,0.5889223098730607,False,0.7740121786903084,False,lower,funnel_stage_reach
source,an,payment_completed,10,6,0,0.0,0.043810622190678966,-0.043810622190678966,-0.5243152573574215,0.6000592866366731,False,0.7841683859456523,False,lower,funnel_stage_reach
