dimension,segment,dropoff_metric,denominator,segment_n,segment_dropoffs,segment_dropoff_rate,rest_dropoff_rate,diff_pp,z_score,p_value,meets_min_users,q_value,significant_fdr_05,direction,metric
source,(unknown),no_insurance_selected_event_among_reservation_users,reservation_users,7775,7350,0.9453376205787781,0.3633507853403141,0.5819868352384641,60.74905609697358,0.0,True,0.0,True,higher,insurance_dropoff
source,BFF,no_insurance_selected_event_among_reservation_users,reservation_users,6,2,0.3333333333333333,0.8308709577435686,-0.49753762441023525,-3.247702872034747,0.0011634069267066967,False,0.0036564217696496183,True,lower,insurance_dropoff
source,INFLUENCER,no_insurance_selected_event_among_reservation_users,reservation_users,13,5,0.38461538461538464,0.8311621174524401,-0.4465467328370554,-4.289001788250213,1.794779282441529e-05,False,6.580857368952273e-05,True,lower,insurance_dropoff
source,app,no_insurance_selected_event_among_reservation_users,reservation_users,570,262,0.45964912280701753,0.8537575425123423,-0.39410841970532473,-24.33273736372292,8.831258068736782e-131,True,6.47625591707364e-130,True,lower,insurance_dropoff
source,email,no_insurance_selected_event_among_reservation_users,reservation_users,1,1,1.0,0.830545229244114,0.169454770755886,0.451690214166401,0.6514921689625884,False,0.909069239182409,False,higher,insurance_dropoff
source,fb,no_insurance_selected_event_among_reservation_users,reservation_users,4,1,0.25,0.8308026030368764,-0.5808026030368764,-3.095837459477159,0.001962579108071887,False,0.005397092547197689,True,lower,insurance_dropoff
source,google,no_insurance_selected_event_among_reservation_users,reservation_users,1284,411,0.32009345794392524,0.9085823116295679,-0.5884888536856427,-52.35350190010843,0.0,True,0.0,True,lower,insurance_dropoff
source,ig,no_insurance_selected_event_among_reservation_users,reservation_users,6,1,0.16666666666666666,0.8309742742018804,-0.6643076075352138,-4.336302661460113,1.4489939418103149e-05,False,6.375573343965385e-05,True,lower,insurance_dropoff
source,shuttle-blog,no_insurance_selected_event_among_reservation_users,reservation_users,10,1,0.1,0.8313178294573643,-0.7313178294573643,-6.161566492023657,7.202881403078662e-10,False,3.961584771693264e-09,True,lower,insurance_dropoff
source,whatsapp,no_insurance_selected_event_among_reservation_users,reservation_users,6,5,0.8333333333333334,0.8305610083686331,0.002772324964700257,0.01809649624135125,0.9855618730893094,False,0.9855618730893094,False,higher,insurance_dropoff
source,{{site_source_name}},no_insurance_selected_event_among_reservation_users,reservation_users,10,5,0.5,0.8309043927648578,-0.33090439276485784,-2.7879662390239184,0.0053040070966187715,False,0.012965350680623664,True,lower,insurance_dropoff
source,(unknown),no_insurance_row_among_reservation_users,reservation_users,7775,102,0.013118971061093247,0.006806282722513089,0.006312688338580158,2.282055248136456,0.02248607865459038,True,0.04946937304009884,True,higher,insurance_dropoff
source,BFF,no_insurance_row_among_reservation_users,reservation_users,6,0,0.0,0.011881392705858043,-0.011881392705858043,-0.26859822853811816,0.7882388756374707,False,0.909069239182409,False,lower,insurance_dropoff
source,INFLUENCER,no_insurance_row_among_reservation_users,reservation_users,13,1,0.07692307692307693,0.011786600496277916,0.06513647642679901,2.1667011066508253,0.030257652167020213,False,0.060515304334040426,False,higher,insurance_dropoff
source,app,no_insurance_row_among_reservation_users,reservation_users,570,3,0.005263157894736842,0.01228743828853538,-0.007024280393798539,-1.501974388247342,0.1331037234147438,True,0.22525245500956642,False,lower,insurance_dropoff
source,email,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.9561678012507732,False,lower,insurance_dropoff
source,fb,no_insurance_row_among_reservation_users,reservation_users,4,0,0.0,0.01187893812622663,-0.01187893812622663,-0.21928688047101796,0.8264265810749173,False,0.909069239182409,False,lower,insurance_dropoff
source,google,no_insurance_row_among_reservation_users,reservation_users,1284,9,0.007009345794392523,0.012617545530294013,-0.005608199735901489,-1.727891229800895,0.08400772698204845,True,0.1540141661337555,False,lower,insurance_dropoff
source,ig,no_insurance_row_among_reservation_users,reservation_users,6,0,0.0,0.011881392705858043,-0.011881392705858043,-0.26859822853811816,0.7882388756374707,False,0.909069239182409,False,lower,insurance_dropoff
source,shuttle-blog,no_insurance_row_among_reservation_users,reservation_users,10,0,0.0,0.011886304909560724,-0.011886304909560724,-0.34683049598581067,0.7287186650730694,False,0.909069239182409,False,lower,insurance_dropoff
source,whatsapp,no_insurance_row_among_reservation_users,reservation_users,6,0,0.0,0.011881392705858043,-0.011881392705858043,-0.26859822853811816,0.7882388756374707,False,0.909069239182409,False,lower,insurance_dropoff
source,{{site_source_name}},no_insurance_row_among_reservation_users,reservation_users,10,0,0.0,0.011886304909560724,-0.011886304909560724,-0.34683049598581067,0.7287186650730694,False,0.909069239182409,False,lower,insurance_dropoff
medium,(unknown),no_insurance_selected_event_among_reservation_users,reservation_users,8309,7599,0.9145504874232759,0.3234011627906977,0.5911493246325783,54.14274684551655,0.0,True,0.0,True,higher,insurance_dropoff
medium,INFLUENCER,no_insurance_selected_event_among_reservation_users,reservation_users,20,8,0.4,0.8314536989136058,-0.43145369891360574,-5.138183553140082,2.774068522542804e-07,False,1.8031445396528227e-06,True,lower,insurance_dropoff
medium,blog,no_insurance_selected_event_among_reservation_users,reservation_users,10,1,0.1,0.8313178294573643,-0.7313178294573643,-6.161566492023657,7.202881403078662e-10,False,6.242497216001507e-09,True,lower,insurance_dropoff
medium,cpc,no_insurance_selected_event_among_reservation_users,reservation_users,1306,419,0.3208269525267994,0.9100131280582409,-0.5891861755314415,-52.793411005790325,0.0,True,0.0,True,lower,insurance_dropoff
medium,crm,no_insurance_selected_event_among_reservation_users,reservation_users,2,2,1.0,0.8305277290096045,0.16947227099039552,0.6388194109578266,0.5229404191383358,False,0.9118587296249975,False,higher,insurance_dropoff
medium,demandgen,no_insurance_selected_event_among_reservation_users,reservation_users,2,0,0.0,0.8307342765671796,-0.8307342765671796,-3.1314219023429355,0.001739620477925121,False,0.00502557026956146,True,lower,insurance_dropoff
medium,link,no_insurance_selected_event_among_reservation_users,reservation_users,2,0,0.0,0.8307342765671796,-0.8307342765671796,-3.1314219023429355,0.001739620477925121,False,0.00502557026956146,True,lower,insurance_dropoff
