dimension,segment,insurance_metric,denominator,segment_n,segment_successes,segment_rate,rest_rate,diff_pp,z_score,p_value,meets_min_users,q_value,significant_fdr_05,direction,metric
source,(unknown),event_selected_all_users,all_users,33504,425,0.01268505253104107,0.03562430421280834,-0.022939251681767275,-19.386533474090974,1.0027130417888148e-83,True,1.704612171040985e-82,True,lower,insurance_selection
source,BFF,event_selected_all_users,all_users,69,4,0.057971014492753624,0.02422708638576862,0.033743928106985004,1.8208447538467676,0.06863045910216548,True,0.25927062327484734,False,higher,insurance_selection
source,INFLUENCER,event_selected_all_users,all_users,34,8,0.23529411764705882,0.02415537542157269,0.21113874222548612,7.999679285957657,1.247436944232556e-15,False,8.482571220781381e-15,True,higher,insurance_selection
source,an,event_selected_all_users,all_users,6,0,0.0,0.024263662171753016,-0.024263662171753016,-0.38626653337847083,0.6992992833033331,False,0.9012097533885275,False,lower,insurance_selection
source,app,event_selected_all_users,all_users,1753,308,0.17569880205362237,0.020232222812476285,0.1554665792411461,41.75420959638257,0.0,True,0.0,True,higher,insurance_selection
source,arbstub,event_selected_all_users,all_users,2,0,0.0,0.024262227216275356,-0.024262227216275356,-0.22300449247818405,0.823532010053442,False,0.9012097533885275,False,lower,insurance_selection
source,chatgpt.com,event_selected_all_users,all_users,52,0,0.0,0.02428017636788684,-0.02428017636788684,-1.13752479483383,0.25531896537470194,True,0.6677572940569128,False,lower,insurance_selection
source,email,event_selected_all_users,all_users,22,0,0.0,0.02426940369143398,-0.02426940369143398,-0.739731605708327,0.45946286640507644,False,0.9012097533885275,False,lower,insurance_selection
source,fb,event_selected_all_users,all_users,2547,3,0.001177856301531213,0.025164769322947873,-0.02398691302141666,-7.718418018297861,1.1778237878271448e-14,True,6.674334797687154e-14,True,lower,insurance_selection
source,google,event_selected_all_users,all_users,29007,873,0.030096183679801426,0.019880406927079288,0.010215776752722137,8.5461353611766,1.2727872946847906e-17,True,1.0818692004820719e-16,True,higher,insurance_selection
source,ig,event_selected_all_users,all_users,316,5,0.015822784810126583,0.02430111999049345,-0.008478335180366867,-0.9772633657588014,0.32843878462171916,True,0.7444612451425634,False,lower,insurance_selection
source,ig_text_post_permalink,event_selected_all_users,all_users,2,0,0.0,0.024262227216275356,-0.024262227216275356,-0.22300449247818405,0.823532010053442,False,0.9012097533885275,False,lower,insurance_selection
source,instagram,event_selected_all_users,all_users,4,0,0.0,0.024262944672797705,-0.024262944672797705,-0.31538064067813376,0.7524726638894945,False,0.9012097533885275,False,lower,insurance_selection
source,openai,event_selected_all_users,all_users,1,0,0.0,0.024261868503925366,-0.024261868503925366,-0.15768682316882845,0.8747035841712179,False,0.9012097533885275,False,lower,insurance_selection
source,perplexity,event_selected_all_users,all_users,1,0,0.0,0.024261868503925366,-0.024261868503925366,-0.15768682316882845,0.8747035841712179,False,0.9012097533885275,False,lower,insurance_selection
source,shuttle-blog,event_selected_all_users,all_users,31,9,0.2903225806451613,0.02413951218069135,0.26618306846447,9.630217536275229,5.960316387874903e-22,False,6.755025239591556e-21,True,higher,insurance_selection
source,superalink,event_selected_all_users,all_users,40,0,0.0,0.02427586614988609,-0.02427586614988609,-0.9975866858621879,0.3184798198604809,False,0.7444612451425634,False,lower,insurance_selection
source,tiktok,event_selected_all_users,all_users,5,0,0.0,0.024263303416971006,-0.024263303416971006,-0.35260888242428723,0.724381677599496,False,0.9012097533885275,False,lower,insurance_selection
source,trustpilot,event_selected_all_users,all_users,33,0,0.0,0.024273352562680275,-0.024273352562680275,-0.9060561934411113,0.36490611029017156,False,0.7754254843666145,False,lower,insurance_selection
source,trustpilot/,event_selected_all_users,all_users,3,0,0.0,0.024262585939232646,-0.024262585939232646,-0.2731256275521181,0.7847566474612131,False,0.9012097533885275,False,lower,insurance_selection
source,tt-ads,event_selected_all_users,all_users,8,0,0.0,0.024264379713145053,-0.024264379713145053,-0.44602876903561406,0.6555764648268831,False,0.9012097533885275,False,lower,insurance_selection
source,whatsapp,event_selected_all_users,all_users,13,1,0.07692307692307693,0.024251386321626617,0.05267169060145031,1.2341886957308668,0.2171325987420131,False,0.6152090297690371,False,higher,insurance_selection
source,{{site_source_name}},event_selected_all_users,all_users,185,5,0.02702702702702703,0.02425392495515396,0.0027731020718730695,0.24481123533870916,0.8066025940503564,True,0.9012097533885275,False,higher,insurance_selection
source,(unknown),reservation_insurance_row_reservation_users,reservation_users,7775,7673,0.9868810289389067,0.993193717277487,-0.00631268833858023,-2.282055248136481,0.022486078654588893,True,0.10921809632228892,False,lower,insurance_selection
source,BFF,reservation_insurance_row_reservation_users,reservation_users,6,6,1.0,0.9881186072941419,0.011881392705858085,0.268598228538119,0.7882388756374702,False,0.9012097533885275,False,higher,insurance_selection
source,INFLUENCER,reservation_insurance_row_reservation_users,reservation_users,13,12,0.9230769230769231,0.9882133995037221,-0.06513647642679898,-2.1667011066508235,0.030257652167020352,False,0.1285950217098365,False,lower,insurance_selection
