dimension,segment,reservations,priced_reservations,paid_reservations,paid_reservation_rate,insurance_row_rate_reservations,avg_price_base,median_price_base,avg_paid_price_base,avg_unpaid_price_base,low_price_reservations,low_price_paid_rate,high_price_reservations,high_price_paid_rate,high_minus_low_paid_rate,price_sensitivity_z,price_sensitivity_p_value,meets_min_reservations,meets_min_low_high,price_sensitivity_q_value,price_signal
source,(unknown),25678,25665,3367,0.13112391930835735,0.9802554716099384,32356.450068186245,26659.0,28996.296064400714,32861.580117430865,6424,0.12780199252801994,6405,0.09773614363778298,-0.03006584889023696,-5.382557152902507,7.343504924944059e-08,True,True,3.6717524624720296e-07,inconclusive
source,google,54,54,9,0.16666666666666666,0.9074074074074074,52580.944444444445,49996.5,39381.22222222222,55220.88888888889,2,1.0,29,0.10344827586206896,-0.896551724137931,-3.3342527467650602,0.0008552890240432927,True,False,0.002138222560108232,inconclusive
source,{{site_source_name}},4,4,2,0.5,1.0,6959.75,7194.0,6725.5,7194.0,4,0.5,0,,,0.0,1.0,False,False,1.0,inconclusive
source,app,8,8,1,0.125,1.0,26860.125,23223.5,18578.0,28043.285714285714,2,0.0,1,0.0,0.0,0.0,1.0,False,False,1.0,inconclusive
source,INFLUENCER,1,1,0,0.0,1.0,8049.0,8049.0,,8049.0,1,0.0,0,,,0.0,1.0,False,False,1.0,inconclusive
medium,(unknown),25686,25673,3368,0.13112201199096785,0.9802616211165616,32354.737350523897,26659.0,28993.190760059613,32860.068868178154,6426,0.12776221599751011,6406,0.09772088666874805,-0.030041329328762065,-5.379344605972521,7.47574900249452e-08,True,True,2.990299600997808e-07,inconclusive
medium,cpc,54,54,9,0.16666666666666666,0.9074074074074074,52580.944444444445,49996.5,39381.22222222222,55220.88888888889,2,1.0,29,0.10344827586206896,-0.896551724137931,-3.3342527467650602,0.0008552890240432927,True,False,0.0017105780480865854,inconclusive
medium,{{placement}},4,4,2,0.5,1.0,6959.75,7194.0,6725.5,7194.0,4,0.5,0,,,0.0,1.0,False,False,1.0,inconclusive
medium,INFLUENCER,1,1,0,0.0,1.0,8049.0,8049.0,,8049.0,1,0.0,0,,,0.0,1.0,False,False,1.0,inconclusive
campaign,(unknown),25686,25673,3368,0.13112201199096785,0.9802616211165616,32354.737350523897,26659.0,28993.190760059613,32860.068868178154,6426,0.12776221599751011,6406,0.09772088666874805,-0.030041329328762065,-5.379344605972521,7.47574900249452e-08,True,True,5.233024301746164e-07,inconclusive
campaign,23754383997,26,26,5,0.19230769230769232,1.0,49527.53846153846,39168.0,35945.6,52761.333333333336,0,,11,0.09090909090909091,,0.0,1.0,False,False,1.0,inconclusive
campaign,23735454208,15,15,2,0.13333333333333333,0.9333333333333333,58693.666666666664,59618.0,40230.5,61534.153846153844,1,1.0,10,0.1,-0.9,-2.2248595461286986,0.026090668481125474,False,False,0.09131733968393915,inconclusive
campaign,{{campaign.name}},4,4,2,0.5,1.0,6959.75,7194.0,6725.5,7194.0,4,0.5,0,,,0.0,1.0,False,False,1.0,inconclusive
campaign,23688781100,8,8,1,0.125,0.5,62565.25,66606.0,82504.0,59716.857142857145,0,,6,0.16666666666666666,,0.0,1.0,False,False,1.0,inconclusive
campaign,23205597293,5,5,1,0.2,1.0,34145.6,37988.0,11738.0,39747.5,1,1.0,2,0.0,-1.0,-1.732050807568877,0.08326451666355049,False,False,0.19428387221495114,inconclusive
campaign,INFLUENCER,1,1,0,0.0,1.0,8049.0,8049.0,,8049.0,1,0.0,0,,,0.0,1.0,False,False,1.0,inconclusive
language,(unknown),17318,17311,2222,0.12830580898487123,0.9804827347268738,29805.32285829819,24115.0,25743.469977426637,30401.308823529413,4891,0.1302392148844817,3579,0.0857781503213188,-0.0444610645631629,-6.422929258164863,1.3367662530657716e-10,True,True,4.010298759197315e-09,inconclusive
language,en,5842,5838,887,0.15183156453269428,0.9821978774392331,39220.59215484755,33531.0,37179.91053227633,39584.24944500504,798,0.14536340852130325,2088,0.13266283524904215,-0.012700573272261095,-0.8897761615261496,0.3735860891899136,True,True,1.0,price_resilient
language,zh,1359,1359,121,0.08903605592347315,0.9793966151582045,46819.81824871229,41156.0,38600.42148760331,47623.16801292407,101,0.1485148514851485,652,0.05674846625766871,-0.09176638522747979,-3.384581036402282,0.000712869727518401,True,True,0.010693045912776014,price_sensitive
language,ko,650,648,67,0.10307692307692308,0.9646153846153847,14085.583333333334,8937.0,14399.584615384616,14050.57461406518,474,0.08438818565400844,34,0.058823529411764705,-0.02556465624224373,-0.5228568947200142,0.6010738432863101,True,True,1.0,price_resilient
language,de,52,52,14,0.2692307692307692,1.0,22799.884615384617,19531.0,27009.5,21248.973684210527,16,0.3125,3,0.3333333333333333,0.020833333333333315,0.07123753452209247,0.943208709056903,True,False,1.0,inconclusive
language,fr,107,107,12,0.11214953271028037,0.9906542056074766,35173.878504672895,31359.0,32177.166666666668,35552.41052631579,9,0.0,22,0.045454545454545456,0.045454545454545456,0.650174801670499,0.515579315810676,True,False,1.0,inconclusive
language,es,66,66,11,0.16666666666666666,0.9545454545454546,28036.71212121212,28616.5,31404.909090909092,27363.072727272727,12,0.0,6,0.16666666666666666,0.16666666666666666,1.4552137502179978,0.14561009539686703,True,False,1.0,inconclusive
language,nl,56,56,10,0.17857142857142858,0.9821428571428571,31395.89285714286,30755.0,28092.3,32114.065217391304,6,0.16666666666666666,12,0.16666666666666666,0.0,0.0,1.0,True,False,1.0,inconclusive
language,ja,128,128,9,0.0703125,0.9296875,19549.2421875,12560.0,17558.0,19699.840336134454,76,0.05263157894736842,17,0.0,-0.05263157894736842,-0.9669279879521923,0.3335800341480638,True,True,1.0,inconclusive
language,it,47,47,7,0.14893617021276595,0.9361702127659575,39430.765957446805,31327.0,24140.571428571428,42106.55,9,0.1111111111111111,13,0.0,-0.1111111111111111,-1.2301331282538135,0.21864725628439172,True,False,1.0,inconclusive
language,ru,29,29,5,0.1724137931034483,1.0,25660.620689655174,25053.0,18773.4,27095.458333333332,6,0.3333333333333333,2,0.0,-0.3333333333333333,-0.9428090415820632,0.34577858615116047,False,False,1.0,inconclusive
language,da,22,22,4,0.18181818181818182,0.9090909090909091,27952.090909090908,18117.5,31372.0,27192.11111111111,9,0.1111111111111111,4,0.25,0.1388888888888889,0.6405884289881728,0.5217901193139773,False,False,1.0,inconclusive
language,pt,17,17,3,0.17647058823529413,1.0,24954.58823529412,22806.0,25246.0,24892.14285714286,2,0.5,0,,,0.0,1.0,False,False,1.0,inconclusive
language,hr,7,7,1,0.14285714285714285,1.0,11136.42857142857,10819.0,10203.0,11292.0,7,0.14285714285714285,0,,,0.0,1.0,False,False,1.0,inconclusive
language,sq,4,4,1,0.25,1.0,34039.25,34172.0,29047.0,35703.333333333336,0,,0,,,0.0,1.0,False,False,1.0,inconclusive
language,ar,3,3,1,0.3333333333333333,1.0,40747.333333333336,39920.0,38344.0,41949.0,0,,1,0.0,,0.0,1.0,False,False,1.0,inconclusive
language,cy,2,2,1,0.5,1.0,11893.5,11893.5,11127.0,12660.0,2,0.5,0,,,0.0,1.0,False,False,1.0,inconclusive
language,lt,2,2,1,0.5,1.0,29898.5,29898.5,29617.0,30180.0,0,,0,,,0.0,1.0,False,False,1.0,inconclusive
language,sv,2,2,1,0.5,1.0,15598.5,15598.5,23712.0,7485.0,1,0.0,0,,,0.0,1.0,False,False,1.0,inconclusive
language,ca,1,1,1,1.0,1.0,26981.0,26981.0,26981.0,,0,,0,,,0.0,1.0,False,False,1.0,inconclusive
language,cs,7,7,0,0.0,1.0,23658.285714285714,21580.0,,23658.285714285714,2,0.0,1,0.0,0.0,0.0,1.0,False,False,1.0,inconclusive
language,pl,6,6,0,0.0,1.0,26418.833333333332,24211.0,,26418.833333333332,1,0.0,0,,,0.0,1.0,False,False,1.0,inconclusive
language,vi,6,6,0,0.0,1.0,17051.5,13705.5,,17051.5,3,0.0,0,,,0.0,1.0,False,False,1.0,inconclusive
