dimension,segment,users,reservation_users,paid_users,insurance_event_users,insurance_row_users,avg_event_count,avg_reservation_count,reservation_rate,paid_user_rate,paid_after_reservation_rate,insurance_event_rate_all_users,insurance_row_rate_all_users,insurance_row_rate_reservation_users
source,(unknown),33504,7775,2210,425,7673,2.9596466093600764,0.5844376790830945,0.23206184336198662,0.06596227316141356,0.2842443729903537,0.01268505253104107,0.22901743075453676,0.9868810289389067
source,google,29007,1284,387,873,1275,4.998655496949012,0.12231530320267521,0.04426517737097942,0.013341607198262488,0.3014018691588785,0.030096183679801426,0.04395490743613611,0.9929906542056075
source,app,1753,570,330,308,567,28.04962920707359,1.1357672561323446,0.32515687393040504,0.18824871648602395,0.5789473684210527,0.17569880205362237,0.32344552196235027,0.9947368421052631
source,INFLUENCER,34,13,10,8,12,47.911764705882355,2.176470588235294,0.38235294117647056,0.29411764705882354,0.7692307692307693,0.23529411764705882,0.35294117647058826,0.9230769230769231
source,{{site_source_name}},185,10,6,5,10,8.372972972972972,1.4972972972972973,0.05405405405405406,0.032432432432432434,0.6,0.02702702702702703,0.05405405405405406,1.0
source,whatsapp,13,6,6,1,6,13.23076923076923,3.3076923076923075,0.46153846153846156,0.46153846153846156,1.0,0.07692307692307693,0.46153846153846156,1.0
source,BFF,69,6,5,4,6,8.101449275362318,1.8405797101449275,0.08695652173913043,0.07246376811594203,0.8333333333333334,0.057971014492753624,0.08695652173913043,1.0
source,shuttle-blog,31,10,5,9,10,39.483870967741936,1.967741935483871,0.3225806451612903,0.16129032258064516,0.5,0.2903225806451613,0.3225806451612903,1.0
source,ig,316,6,2,5,6,2.471518987341772,0.060126582278481014,0.0189873417721519,0.006329113924050633,0.3333333333333333,0.015822784810126583,0.0189873417721519,1.0
source,fb,2547,4,1,3,4,1.2783667059285433,0.007067137809187279,0.0015704750687082843,0.00039261876717707107,0.25,0.001177856301531213,0.0015704750687082843,1.0
source,email,22,1,1,0,1,4.090909090909091,0.2727272727272727,0.045454545454545456,0.045454545454545456,1.0,0.0,0.045454545454545456,1.0
source,chatgpt.com,52,0,0,0,0,4.865384615384615,0.0,0.0,0.0,,0.0,0.0,
source,superalink,40,0,0,0,0,1.875,0.0,0.0,0.0,,0.0,0.0,
source,trustpilot,33,0,0,0,0,2.0303030303030303,0.0,0.0,0.0,,0.0,0.0,
source,tt-ads,8,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
source,an,6,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
source,tiktok,5,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
source,instagram,4,0,0,0,0,2.75,0.0,0.0,0.0,,0.0,0.0,
source,trustpilot/,3,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
source,arbstub,2,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
source,ig_text_post_permalink,2,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
source,openai,1,0,0,0,0,12.0,0.0,0.0,0.0,,0.0,0.0,
