car_id,car_model,car_type,file_month,reservations,revenue,avg_amount
1843,16/18년 올뉴카니발9인(경유),RV,2026-01,3,351510.0,117170.0
1843,16/18년 올뉴카니발9인(경유),RV,2026-03,4,1038450.0,259612.5
1843,16/18년 올뉴카니발9인(경유),RV,2026-04,1,179190.0,179190.0
1846,18/19년 쏠라티(15인/경유),RV,2026-01,1,729810.0,729810.0
1846,18/19년 쏠라티(15인/경유),RV,2026-02,2,968580.0,484290.0
1846,18/19년 쏠라티(15인/경유),RV,2026-03,2,1016100.0,508050.0
1846,18/19년 쏠라티(15인/경유),RV,2026-04,1,641610.0,641610.0
1846,18/19년 쏠라티(15인/경유),RV,2026-05,1,530730.0,530730.0
1846,18/19년 쏠라티(15인/경유),RV,2026-06,1,712890.0,712890.0
1846,18/19년 쏠라티(15인/경유),RV,2026-07,2,1134810.0,567405.0
1847,18년 올뉴카니발리무진7인(경유),RV,2026-01,6,715190.0,119198.33333333333
1847,18년 올뉴카니발리무진7인(경유),RV,2026-02,3,698910.0,232970.0
1847,18년 올뉴카니발리무진7인(경유),RV,2026-03,1,80910.0,80910.0
1847,18년 올뉴카니발리무진7인(경유),RV,2026-04,2,358830.0,179415.0
1847,18년 올뉴카니발리무진7인(경유),RV,2026-05,1,221130.0,221130.0
1847,18년 올뉴카니발리무진7인(경유),RV,2026-06,1,129900.0,129900.0
1847,18년 올뉴카니발리무진7인(경유),RV,2026-07,2,211590.0,105795.0
1854,19년 더뉴그랜드스타렉스12인(경유),RV,2026-01,2,386365.0,193182.5
1854,19년 더뉴그랜드스타렉스12인(경유),RV,2026-02,1,50040.0,50040.0
1854,19년 더뉴그랜드스타렉스12인(경유),RV,2026-03,7,1769270.0,252752.85714285713
1854,19년 더뉴그랜드스타렉스12인(경유),RV,2026-04,5,1747670.0,349534.0
1854,19년 더뉴그랜드스타렉스12인(경유),RV,2026-05,2,302740.0,151370.0
1854,19년 더뉴그랜드스타렉스12인(경유),RV,2026-06,2,561490.0,280745.0
1854,19년 더뉴그랜드스타렉스12인(경유),RV,2026-07,3,590220.0,196740.0
1859,19년 더뉴카니발리무진7인(경유),RV,2026-01,5,802400.0,160480.0
1859,19년 더뉴카니발리무진7인(경유),RV,2026-03,10,1636170.0,163617.0
1859,19년 더뉴카니발리무진7인(경유),RV,2026-04,3,552380.0,184126.66666666666
2225,19년 올뉴K3(휘),COMPACT,2026-01,3,155420.0,51806.666666666664
2225,19년 올뉴K3(휘),COMPACT,2026-02,5,482560.0,96512.0
1878,20/21년 BMW Z4 로드스터(휘),IMPORTED,2026-01,2,119140.0,59570.0
1878,20/21년 BMW Z4 로드스터(휘),IMPORTED,2026-02,8,1030010.0,128751.25
1878,20/21년 BMW Z4 로드스터(휘),IMPORTED,2026-03,12,2693240.0,224436.66666666666
1878,20/21년 BMW Z4 로드스터(휘),IMPORTED,2026-04,5,1126290.0,225258.0
1878,20/21년 BMW Z4 로드스터(휘),IMPORTED,2026-05,3,558180.0,186060.0
1878,20/21년 BMW Z4 로드스터(휘),IMPORTED,2026-06,2,938070.0,469035.0
1878,20/21년 BMW Z4 로드스터(휘),IMPORTED,2026-07,8,2310480.0,288810.0
1873,20년 K5(LPG),MIDSIZE,2026-01,31,3173820.0,102381.29032258065
1873,20년 K5(LPG),MIDSIZE,2026-02,17,1389030.0,81707.64705882352
1873,20년 K5(LPG),MIDSIZE,2026-03,23,1885740.0,81988.69565217392
1873,20년 K5(LPG),MIDSIZE,2026-04,6,886450.0,147741.66666666666
1873,20년 K5(LPG),MIDSIZE,2026-05,8,758590.0,94823.75
1873,20년 K5(LPG),MIDSIZE,2026-06,11,687620.0,62510.90909090909
1873,20년 K5(LPG),MIDSIZE,2026-07,7,1031500.0,147357.14285714287
1869,20년 K5(휘),MIDSIZE,2026-01,6,480960.0,80160.0
1845,20년 SM6(휘),MIDSIZE,2026-01,3,291535.0,97178.33333333333
1845,20년 SM6(휘),MIDSIZE,2026-02,5,497150.0,99430.0
1845,20년 SM6(휘),MIDSIZE,2026-03,3,209420.0,69806.66666666667
1845,20년 SM6(휘),MIDSIZE,2026-05,3,411210.0,137070.0
1845,20년 SM6(휘),MIDSIZE,2026-06,2,75960.0,37980.0
1845,20년 SM6(휘),MIDSIZE,2026-07,1,224100.0,224100.0
1871,20년 더 뉴 그랜저(LPG),LUXURY,2026-01,3,200000.0,66666.66666666667
1871,20년 더 뉴 그랜저(LPG),LUXURY,2026-02,2,530020.0,265010.0
1871,20년 더 뉴 그랜저(LPG),LUXURY,2026-03,5,503065.0,100613.0
1871,20년 더 뉴 그랜저(LPG),LUXURY,2026-04,3,507890.0,169296.66666666666
1871,20년 더 뉴 그랜저(LPG),LUXURY,2026-05,3,516295.0,172098.33333333334
1871,20년 더 뉴 그랜저(LPG),LUXURY,2026-06,4,659480.0,164870.0
1871,20년 더 뉴 그랜저(LPG),LUXURY,2026-07,3,171990.0,57330.0
1868,20년 더 뉴 그랜저(휘),LUXURY,2026-01,11,1197180.0,108834.54545454546
1868,20년 더 뉴 그랜저(휘),LUXURY,2026-02,8,858970.0,107371.25
1868,20년 더 뉴 그랜저(휘),LUXURY,2026-03,2,744190.0,372095.0
1868,20년 더 뉴 그랜저(휘),LUXURY,2026-04,2,268020.0,134010.0
1872,20년 베리뉴티볼리(경유),SUV,2026-01,4,303460.0,75865.0
1872,20년 베리뉴티볼리(경유),SUV,2026-02,6,459730.0,76621.66666666667
1872,20년 베리뉴티볼리(경유),SUV,2026-03,3,404040.0,134680.0
1872,20년 베리뉴티볼리(경유),SUV,2026-04,1,46080.0,46080.0
1872,20년 베리뉴티볼리(경유),SUV,2026-06,3,422340.0,140780.0
1872,20년 베리뉴티볼리(경유),SUV,2026-07,1,337130.0,337130.0
1875,20년 벤츠 C클래스 카브리올레(휘),IMPORTED,2026-01,2,181530.0,90765.0
1875,20년 벤츠 C클래스 카브리올레(휘),IMPORTED,2026-02,4,415800.0,103950.0
1875,20년 벤츠 C클래스 카브리올레(휘),IMPORTED,2026-03,7,1028075.0,146867.85714285713
1875,20년 벤츠 C클래스 카브리올레(휘),IMPORTED,2026-04,6,1205820.0,200970.0
1875,20년 벤츠 C클래스 카브리올레(휘),IMPORTED,2026-05,6,1756800.0,292800.0
1875,20년 벤츠 C클래스 카브리올레(휘),IMPORTED,2026-06,8,1233960.0,154245.0
1875,20년 벤츠 C클래스 카브리올레(휘),IMPORTED,2026-07,7,1253610.0,179087.14285714287
1866,20년 셀토스(휘),SUV,2026-01,2,263970.0,131985.0
1866,20년 셀토스(휘),SUV,2026-02,6,517440.0,86240.0
1866,20년 셀토스(휘),SUV,2026-03,2,175380.0,87690.0
1866,20년 셀토스(휘),SUV,2026-04,3,244990.0,81663.33333333333
1864,20년 쏘나타DN8(LPG),MIDSIZE,2026-01,23,1975660.0,85898.26086956522
1864,20년 쏘나타DN8(LPG),MIDSIZE,2026-02,7,590990.0,84427.14285714286
1864,20년 쏘나타DN8(LPG),MIDSIZE,2026-03,14,1064750.0,76053.57142857143
1864,20년 쏘나타DN8(LPG),MIDSIZE,2026-04,16,1538590.0,96161.875
1864,20년 쏘나타DN8(LPG),MIDSIZE,2026-05,5,763510.0,152702.0
1864,20년 쏘나타DN8(LPG),MIDSIZE,2026-06,5,532640.0,106528.0
1864,20년 쏘나타DN8(LPG),MIDSIZE,2026-07,4,258840.0,64710.0
1863,20년 쏘나타DN8(휘),MIDSIZE,2026-01,4,305540.0,76385.0
1876,20년 올뉴k3(휘),COMPACT,2026-01,25,2214695.0,88587.8
1876,20년 올뉴k3(휘),COMPACT,2026-02,14,912025.0,65144.642857142855
1876,20년 올뉴k3(휘),COMPACT,2026-03,14,798050.0,57003.57142857143
1876,20년 올뉴k3(휘),COMPACT,2026-04,9,1019445.0,113271.66666666667
1876,20년 올뉴k3(휘),COMPACT,2026-05,13,1312745.0,100980.38461538461
1876,20년 올뉴k3(휘),COMPACT,2026-06,15,931590.0,62106.0
1876,20년 올뉴k3(휘),COMPACT,2026-07,4,264590.0,66147.5
1874,20년 올뉴아반떼CN7(휘),COMPACT,2026-01,12,779075.0,64922.916666666664
1874,20년 올뉴아반떼CN7(휘),COMPACT,2026-02,2,73200.0,36600.0
