vehicle_class,model_count,fleet_vehicle_days,booked_hours,revenue_krw,stockout_days,stockout_period_count,fleet_hours,utilization_rate
SUV,47,130643,599307.7333333333,1544629287.0,492,190.0,3135432,0.191140402130658
RV,34,96518,282346.75,1052110242.0,324,114.0,2316432,0.12188864166960221
IMPORTED,26,43588,176490.8,732020986.0,270,108.0,1046112,0.16871118962405554
MIDSIZE,17,75025,294990.1,498838450.0,18,11.0,1800600,0.1638287792957903
COMPACT,14,68498,285427.2,449667842.0,1,1.0,1643952,0.17362258752080353
EV,5,44982,161280.45,316584979.0,0,0.0,1079568,0.1493935074029612
LUXURY,15,21554,92492.15,281573246.0,64,34.0,517296,0.17879927546317775
URBAN,8,33247,172719.26666666666,222204337.0,12,10.0,797928,0.2164597139925741
SUPERCAR,5,2407,6004.283333333333,108443681.0,364,112.0,57768,0.10393787794857591
CITY,1,7577,0.0,0.0,0,0.0,181848,0.0
