model_name,vehicle_class,latent_hours,latent_revenue_krw,extra_1_cars_absorbable_hours,extra_1_cars_revenue_proxy_krw,extra_1_cars_repair_cost_proxy_krw,extra_1_cars_profit_proxy_krw,extra_2_cars_absorbable_hours,extra_2_cars_revenue_proxy_krw,extra_2_cars_repair_cost_proxy_krw,extra_2_cars_profit_proxy_krw
21년 벤츠G63 AMG 지바겐(휘),SUPERCAR,3928.0,83188440.02156086,1496.0,31469475.083690386,96307.43820861683,31373167.64548177,2178.0,45815853.430666886,140212.29974489802,45675641.13092199
22년 포르쉐 718박스터 컨버터블(휘),SUPERCAR,8592.0,128043456.87467158,1663.0,27215750.397044107,173422.19345238098,27042328.203591727,2637.5,43163885.55153568,275045.72172619053,42888839.82980949
25년 포르쉐 카이엔 하이브리드 쿠페 4륜,SUPERCAR,1683.0,28329473.948735274,1154.5,19056573.457869638,73998.31327498177,18982575.144594654,1522.5,25130907.829888716,97585.47592997813,25033322.353958737
26년 쏠라티(15인/경유),RV,1839.5,20244936.45769803,759.5,9254211.067639258,0.0,9254211.067639258,1043.5,12714640.222622205,0.0,12714640.222622205
25년 GV80 쿠페 4륜(5인/휘),SUV,2408.0,11098478.424693443,1165.0,5422116.99064345,0.0,5422116.99064345,1865.0,8680041.362703891,0.0,8680041.362703891
24년 쏠라티(15인/경유),RV,1189.5,13186339.173037214,533.5,4949293.762382955,34344.93200821997,4914948.830374735,785.0,7282465.985886823,50535.6544075964,7231930.331479227
26년  스포티지(휘),SUV,2759.0,10571122.703288592,1436.0,4433048.531843055,0.0,4433048.531843055,1989.0,6140204.4079636745,0.0,6140204.4079636745
21년 벤츠 C클래스 카브리올레(휘),IMPORTED,1532.0,6239372.980633881,1039.0,4122183.6871920787,0.0,4122183.6871920787,1363.0,5407638.465488742,0.0,5407638.465488742
25년 BMW X7 xdrive40i 하이브리드(휘),SUPERCAR,671.5,11573632.48646464,213.0,3834598.422065427,0.0,3834598.422065427,324.5,5841911.680564465,0.0,5841911.680564465
21년 아우디A5 카브리올레(휘),IMPORTED,2364.0,11437567.69370939,718.5,2915757.831106313,0.0,2915757.831106313,1090.0,4423348.692979653,0.0,4423348.692979653
20/21년 BMW Z4 로드스터(휘),IMPORTED,2008.5,9151909.589723574,684.0,2843067.739542024,35492.508928571435,2807575.230613453,1091.5,4536854.441096665,56637.53435019843,4480216.906746468
24년 더 뉴 카니발 하이브리드 9인승(휘),RV,1260.5,4242295.051919557,645.5,2141143.2909353473,0.0,2141143.2909353473,1048.0,3476248.131526327,0.0,3476248.131526327
25년 G80 4륜(휘),LUXURY,1568.5,6185062.151758367,480.0,1795062.1239000561,2832.9289428076254,1792229.1949572486,917.5,3431186.455579795,5415.025635470825,3425771.4299443243
23년 4세대 쏘렌토(7인/휘),SUV,1120.0,3729751.8965013847,761.0,1773890.2610853382,0.0,1773890.2610853382,994.0,2317013.0348473405,0.0,2317013.0348473405
25년 투싼 4륜(휘),SUV,3779.0,10438167.274645181,716.0,1717467.0545923542,605.5456349206349,1716861.5089574335,1350.5,3239440.303389629,1142.1639384920634,3238298.139451137
25년 팰리세이드 4륜(휘),SUV,1343.0,5333491.908686489,394.0,1453742.855349784,0.0,1453742.855349784,730.0,2693482.955343508,0.0,2693482.955343508
26년 투싼(휘),SUV,1473.5,4423889.460712349,452.0,1191766.1973767579,0.0,1191766.1973767579,771.0,2032857.8278262839,0.0,2032857.8278262839
22년 볼보 XC40(휘),IMPORTED,371.5,1961671.142405019,300.0,1093695.683206006,0.0,1093695.683206006,347.5,1266864.1663802902,0.0,1266864.1663802902
24년 스타리아 11인승 4륜(경유),RV,443.0,1977379.280315592,307.0,1088907.1058533303,0.0,1088907.1058533303,420.0,1489710.0470957614,0.0,1489710.0470957614
25년 카니발리무진 7인승(휘),RV,922.0,3297622.2261356623,288.0,1087519.7610265343,401.9539427773901,1087117.807083757,535.5,2022107.0556587123,747.3831123517098,2021359.6725463604
25년 GV70 4륜(5인/휘),SUV,1012.0,5944743.065340709,264.0,1009852.6562337718,0.0,1009852.6562337718,506.5,1937463.524175778,0.0,1937463.524175778
24년 벤츠 CLE 컨버터블(휘),IMPORTED,408.5,2734957.9006696357,172.0,955274.6936432662,5069.855034013606,950204.8386092526,297.5,1652291.984644603,8769.080654761907,1643522.903989841
25년 카니발리무진 7인승(경유),RV,896.5,4558388.750579635,240.0,881006.572959599,0.0,881006.572959599,467.0,1714291.956550553,0.0,1714291.956550553
26년 스타리아 11인승 하이브리드(휘),RV,624.5,4731887.924555728,185.5,837028.8446538836,0.0,837028.8446538836,333.5,1504847.0064262545,0.0,1504847.0064262545
25년 카니발 리무진 하이브리드 7인(휘),RV,977.0,4092269.0125164124,192.0,787438.1832036063,0.0,787438.1832036063,384.0,1574876.3664072126,0.0,1574876.3664072126
25년 GV80 4륜(7인/휘),SUV,423.0,1809532.251842058,164.0,735334.3163225418,0.0,735334.3163225418,293.0,1313737.5285518582,0.0,1313737.5285518582
26년 BMW 420i 컨버터블(휘),IMPORTED,715.0,5157645.017445368,129.0,709570.2867548865,385.93342036553526,709184.353334521,249.0,1369635.669782688,744.9412532637076,1368890.7285294242
25년 팰리세이드 하이브리드 4륜 (휘),SUV,563.5,2767430.487957125,192.0,685477.544422152,0.0,685477.544422152,368.0,1313831.9601424579,0.0,1313831.9601424579
24년 더 뉴 쏘렌토 하이브리드 4륜(5인/휘),SUV,597.0,1672460.3907389168,241.0,641744.723215232,0.0,641744.723215232,425.5,1133038.920033532,0.0,1133038.920033532
16/18년 올뉴카니발9인(경유),RV,377.5,924588.0,319.0,617980.210544632,0.0,617980.210544632,377.5,731308.8698451367,0.0,731308.8698451367
23년 K8(LPG),LUXURY,566.0,1387640.3028588453,270.0,609233.1203445477,0.0,609233.1203445477,410.0,925131.7753380168,0.0,925131.7753380168
23년 지프 랭글러 파워탑(휘),IMPORTED,646.0,2559346.736927797,144.0,586734.7112474423,0.0,586734.7112474423,288.0,1173469.4224948846,0.0,1173469.4224948846
23년 4세대 쏘렌토(5인/경유),SUV,363.0,983056.0797083506,214.0,528217.8694235182,220.79365079365084,527997.0757727246,315.5,778751.1112295326,325.51587301587307,778425.5953565168
24년 BMW 미니 컨버터블(휘),IMPORTED,486.0,1699502.410396099,165.0,523564.3234410226,1169.2176870748299,522395.10575394775,295.5,937656.106526195,2093.9625850340135,935562.1439411609
24년 코나(휘),SUV,585.0,1177544.5171612808,272.5,488848.3242563212,0.0,488848.3242563212,425.0,762423.9919594,0.0,762423.9919594
24년 더뉴그랜저 하이브리드(휘),LUXURY,251.0,812950.8914990672,149.0,461234.0871218639,373.04903628117916,460861.03808558267,221.0,684112.303717664,553.3143424036282,683558.9893752602
22년 XM3(휘),SUV,411.5,996937.6380919726,245.5,453086.6777194437,3412.7057291666665,449673.971990277,339.5,626569.9677627337,4719.403645833333,621850.5641169003
22년 베뉴(휘),SUV,473.0,734226.6828010672,275.5,431690.3022316923,0.0,431690.3022316923,384.5,602486.1023886958,0.0,602486.1023886958
19년 더뉴그랜드스타렉스12인(경유),RV,167.0,308642.7152317881,145.5,431462.51998493285,0.0,431462.51998493285,167.0,495218.1500857992,0.0,495218.1500857992
21년 머스탱 컨버터블(휘),IMPORTED,436.0,1748812.6696576935,96.0,383427.3341336446,784.313725490196,382643.0204081544,191.0,762860.6335367304,1560.4575163398692,761300.1760203906
20년 더 뉴 그랜저(휘),LUXURY,300.5,722189.0610456949,168.0,378475.08072441386,510.3869047619047,377964.69381965196,276.5,622906.9036922645,840.0117807539682,622066.8919115105
25년 BMW 미니 컨버터블(휘),IMPORTED,333.0,2003023.5122499778,96.0,356759.840890371,1586.2035087719298,355173.63738159905,192.0,713519.681780742,3172.4070175438596,710347.2747631981
24년 카니발 하이리무진 9인승(경유),RV,834.0,8181686.120856678,76.0,352248.775962215,0.0,352248.775962215,148.0,685958.1426632608,0.0,685958.1426632608
26년 레이(휘),URBAN,935.5,1615837.714654683,240.0,350457.750561253,0.0,350457.750561253,408.0,595778.17595413,0.0,595778.17595413
24년 BMW 420i 컨버터블(휘),IMPORTED,357.5,2524837.877487028,72.0,345250.97228131955,0.0,345250.97228131955,144.0,690501.9445626391,0.0,690501.9445626391
24년 쏘나타 디엣지 하이브리드(휘),MIDSIZE,444.5,1082633.5225664629,144.0,299679.19903574605,0.0,299679.19903574605,285.0,593115.0814249141,0.0,593115.0814249141
26년 더 K8(휘),LUXURY,118.5,533888.0806216637,86.5,260911.41569645697,0.0,260911.41569645697,112.5,339335.6562526175,0.0,339335.6562526175
21년 QM6(휘),SUV,204.0,509709.133182426,117.5,253657.61671939414,172.7973828420257,253484.81933655211,204.0,440392.7983894162,300.00566893424036,440092.792720482
24년 G80 4륜(휘),LUXURY,111.0,402713.9259061834,72.0,252298.67101103714,0.0,252298.67101103714,111.0,388960.45114201563,0.0,388960.45114201563
25년 쏠라티(15인/경유),RV,30.5,357157.14285714284,24.0,226668.59617096392,0.0,226668.59617096392,30.5,288058.00763393333,0.0,288058.00763393333
21년 G80(휘),LUXURY,73.5,122456.41135972462,72.0,204005.52269753156,1342.108843537415,202663.41385399416,73.5,208255.63775373012,1370.0694444444446,206885.56830928568
23년 4세대 쏘렌토(5인/휘),SUV,85.5,191079.8281992042,74.5,173399.64917786603,0.0,173399.64917786603,85.5,199002.28194238315,0.0,199002.28194238315
24년 더 뉴 카니발리무진 7인(경유),RV,124.5,593015.0818244234,48.0,164338.52988089382,0.0,164338.52988089382,96.0,328677.05976178765,0.0,328677.05976178765
24년 더 뉴 쏘렌토 하이브리드(7인/휘),SUV,58.5,136217.5449003504,58.5,157454.06429979764,0.0,157454.06429979764,58.5,157454.06429979764,0.0,157454.06429979764
23년 4세대 카니발 리무진 7인승(경유),RV,149.0,529457.2203045964,48.0,155371.55242623307,0.0,155371.55242623307,96.0,310743.10485246615,0.0,310743.10485246615
21년 4세대 카니발 리무진 7인승(경유),RV,118.0,390865.6716055969,48.0,144844.00173235167,238.85714285714286,144605.14458949454,96.0,289688.00346470333,477.7142857142857,289210.2891789891
24년 더 뉴 K5(휘),MIDSIZE,292.5,1364279.3484979717,72.0,130986.08857057804,114.79591836734696,130871.29265221069,144.0,261972.17714115608,229.5918367346939,261742.58530442137
22년 BMW 미니 컨버터블(휘),IMPORTED,93.0,193674.64134168517,48.0,128845.75118449202,2959.9736394557835,125885.77754503624,93.0,249638.64291995327,5734.948926445581,243903.6939935077
24년 더 올뉴머스탱컨버터블2.3 (휘),IMPORTED,251.0,1344123.3680557297,24.0,110316.11763403282,209.71513605442175,110106.4024979784,48.0,220632.23526806565,419.4302721088435,220212.8049959568
20년 쏘나타DN8(LPG),MIDSIZE,1600.5,2612137.5442645615,72.0,105169.2601145271,28.06122448979592,105141.19889003731,144.0,210338.5202290542,56.12244897959184,210282.39778007462
22년 스포티지 하이브리드(휘),SUV,110.0,186561.29887002753,48.0,97202.87566836263,0.0,97202.87566836263,96.0,194405.75133672525,0.0,194405.75133672525
21년 GV80(5인/휘),SUV,30.0,94235.29411764706,30.0,92503.34553452994,0.0,92503.34553452994,30.0,92503.34553452994,0.0,92503.34553452994
20년 SM6(휘),MIDSIZE,143.5,284610.6623931624,72.0,86885.57317018711,0.0,86885.57317018711,143.5,173167.77430447016,0.0,173167.77430447016
24년 더 뉴 투싼 4륜(휘),SUV,37.5,80605.26315789473,37.5,81960.08377009036,482.824723639456,81477.25904645091,37.5,81960.08377009036,482.824723639456,81477.25904645091
26년 더 K5(휘),MIDSIZE,132.0,310512.01682881755,48.0,73490.40171171987,0.0,73490.40171171987,96.0,146980.80342343973,0.0,146980.80342343973
22년 BMW 미니 컨버터블S(휘),IMPORTED,103.5,312357.0778214216,24.5,71763.93965150871,1577.2274305555563,70186.71222095317,48.5,142063.30910604785,3122.2665462018153,138941.04255984604
25년 투싼 하이브리드 4륜(휘),SUV,104.0,244898.39285714284,24.0,59401.16251508305,18.94736842105263,59382.215146662,48.0,118802.3250301661,37.89473684210526,118764.430293324
23년 디올뉴 그랜저(휘),LUXURY,57.0,105977.74829931973,24.0,59419.32865562728,309.00782312925185,59110.32083249803,48.0,118838.65731125456,618.0156462585037,118220.64166499606
24년 더 뉴 K5 하이브리드(휘),MIDSIZE,207.0,475311.60195083584,24.0,44021.7556127019,80.4421768707483,43941.31343583115,48.0,88043.5112254038,160.8843537414966,87882.6268716623
26년 아반떼(휘),COMPACT,174.0,271475.7979006853,24.0,43142.52159136696,0.0,43142.52159136696,48.0,86285.04318273392,0.0,86285.04318273392
24년 더 뉴 카니발 9인승(휘),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19년 엑센트(휘),URBAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22년 쏘렌토 하이브리드(7인/휘),SUV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
