model_name,vehicle_class,fleet_vehicle_days,booked_hours,revenue_krw,observed_days,stockout_days,max_peak_concurrent,avg_fleet_count,avg_daily_peak,fleet_hours,booked_vehicle_days,utilization_rate,stockout_day_rate,revenue_per_booked_hour,stockout_period_count,avg_stockout_period_days,max_stockout_period_days
22년 포르쉐 718박스터 컨버터블(휘),SUPERCAR,686,2165.1666666666665,35433936.0,588,128,1.0,1.1666666666666667,0.23129251700680273,16464,90.21527777777777,0.13150915127955942,0.21768707482993196,16365.454237549073,39.0,3.282051282051282,14.0
26년  스포티지(휘),SUV,233,2147.25,6628735.0,232,123,2.0,1.0043103448275863,0.5344827586206896,5592,89.46875,0.38398605150214593,0.5301724137931034,3087.0811503085342,22.0,5.590909090909091,22.0
21년 벤츠G63 AMG 지바겐(휘),SUPERCAR,588,1956.6166666666666,41158890.0,588,122,1.0,1.0,0.20748299319727892,14112,81.52569444444444,0.1386491402116402,0.20748299319727892,21035.745376798386,41.0,2.975609756097561,7.0
21년 아우디A5 카브리올레(휘),IMPORTED,588,1512.9833333333333,6139865.0,588,88,1.0,1.0,0.14965986394557823,14112,63.04097222222222,0.10721253779289494,0.14965986394557823,4058.1180669538107,23.0,3.8260869565217392,12.0
23년 4세대 쏘렌토(7인/휘),SUV,588,1544.8333333333333,3601005.0,588,86,1.0,1.0,0.14625850340136054,14112,64.36805555555556,0.10946948223733938,0.14625850340136054,2330.9990290214696,21.0,4.095238095238095,9.0
25년 GV80 쿠페 4륜(5인/휘),SUV,1176,7994.4,37207358.0,588,83,2.0,2.0,0.7840136054421769,28224,333.09999999999997,0.28324829931972784,0.141156462585034,4654.17767437206,34.0,2.4411764705882355,6.0
25년 포르쉐 카이엔 하이브리드 쿠페 4륜,SUPERCAR,457,1362.8333333333333,22495395.0,457,82,1.0,1.0,0.17943107221006566,10968,56.78472222222222,0.12425540967663506,0.17943107221006566,16506.343402225757,22.0,3.727272727272727,11.0
24년 쏠라티(15인/경유),RV,588,1228.1666666666667,11393735.0,588,78,1.0,1.0,0.1326530612244898,14112,51.173611111111114,0.0870299508692366,0.1326530612244898,9277.026733613788,26.0,3.0,4.0
21년 벤츠 C클래스 카브리올레(휘),IMPORTED,1176,6231.3,24722390.0,588,66,3.0,2.0,0.6054421768707483,28224,259.6375,0.2207801870748299,0.11224489795918367,3967.453019434147,28.0,2.357142857142857,7.0
26년 쏠라티(15인/경유),RV,239,879.6666666666666,10718395.0,239,53,2.0,1.0,0.22594142259414227,5736,36.65277777777778,0.1533589028358903,0.2217573221757322,12184.609700644183,16.0,3.3125,7.0
20/21년 BMW Z4 로드스터(휘),IMPORTED,1176,4950.766666666666,20578019.0,588,42,2.0,2.0,0.5119047619047619,28224,206.28194444444443,0.17540981670445954,0.07142857142857142,4156.531782956175,20.0,2.1,4.0
24년 더 뉴 카니발 하이브리드 9인승(휘),RV,1176,4501.0,14929955.0,588,42,2.0,2.0,0.41496598639455784,28224,187.54166666666666,0.15947420634920634,0.07142857142857142,3317.0306598533657,10.0,4.2,8.0
16/18년 올뉴카니발9인(경유),RV,1176,957.8333333333334,1855555.0,588,42,2.0,2.0,0.08843537414965986,28224,39.90972222222222,0.033936838624338626,0.07142857142857142,1937.2420393248651,10.0,4.2,7.0
24년 스타리아 11인승 4륜(경유),RV,1176,4459.0,15815755.0,588,40,2.0,2.0,0.43537414965986393,28224,185.79166666666666,0.1579861111111111,0.06802721088435375,3546.9286835613366,17.0,2.3529411764705883,4.0
25년 BMW X7 xdrive40i 하이브리드(휘),SUPERCAR,419,519.6666666666666,9355460.0,419,32,1.0,1.0,0.07637231503579953,10056,21.652777777777775,0.051677273932643854,0.07637231503579953,18002.809493264915,10.0,3.2,5.0
25년 투싼 4륜(휘),SUV,3528,33185.05,79600880.0,588,31,7.0,6.0,3.0187074829931975,84672,1382.7104166666668,0.39192472127739986,0.05272108843537415,2398.697003620606,16.0,1.9375,4.0
22년 베뉴(휘),SUV,1176,4458.5,6986175.0,588,30,2.0,2.0,0.4387755102040816,28224,185.77083333333334,0.15796839569160998,0.05102040816326531,1566.9339463945273,16.0,1.875,4.0
22년 볼보 XC40(휘),IMPORTED,1176,3152.4166666666665,11492615.0,588,28,2.0,2.0,0.3129251700680272,28224,131.35069444444443,0.11169276738473166,0.047619047619047616,3645.6522773533534,11.0,2.5454545454545454,5.0
26년 투싼(휘),SUV,928,8969.816666666668,23650275.0,232,23,4.0,4.0,2.1077586206896552,22272,373.74236111111117,0.4027396132662836,0.09913793103448276,2636.650879152119,14.0,1.6428571428571428,4.0
25년 G80 4륜(휘),LUXURY,2885,24539.133333333335,91769310.0,588,20,5.0,4.906462585034014,2.261904761904762,69240,1022.463888888889,0.35440689389562874,0.034013605442176874,3739.712758125117,11.0,1.8181818181818181,4.0
25년 팰리세이드 4륜(휘),SUV,2249,16731.05,61732600.0,454,17,5.0,4.953744493392071,1.9889867841409692,53976,697.1270833333333,0.30997202460352746,0.037444933920704845,3689.702678552751,10.0,1.7,3.0
19년 더뉴그랜드스타렉스12인(경유),RV,1176,1991.0833333333333,5904315.0,588,17,2.0,2.0,0.1989795918367347,28224,82.96180555555556,0.07054575302343159,0.02891156462585034,2965.3781442263426,7.0,2.4285714285714284,5.0
22년 XM3(휘),SUV,1176,2714.25,5009330.0,588,15,2.0,2.0,0.2585034013605442,28224,113.09375,0.09616815476190477,0.025510204081632654,1845.5669153541494,8.0,1.875,4.0
24년 코나(휘),SUV,2940,20653.516666666666,37051145.0,588,13,5.0,5.0,1.9302721088435375,70560,860.5631944444444,0.29270856953892666,0.022108843537414966,1793.938804610353,8.0,1.625,2.0
23년 K8(LPG),LUXURY,1764,7081.75,15979395.0,588,13,3.0,3.0,0.673469387755102,42336,295.0729166666667,0.16727489606953894,0.022108843537414966,2256.418964239065,7.0,1.8571428571428572,3.0
25년 카니발리무진 7인승(휘),RV,2866,19271.316666666666,72770617.0,574,12,5.0,4.993031358885017,1.818815331010453,68784,802.9715277777777,0.28017150306272776,0.020905923344947737,3776.110281342133,5.0,2.4,5.0
24년 더 뉴 쏘렌토 하이브리드 4륜(5인/휘),SUV,2352,13837.466666666667,36846976.0,588,12,4.0,4.0,1.3010204081632653,56448,576.5611111111111,0.24513652683295542,0.02040816326530612,2662.841175166938,7.0,1.7142857142857142,3.0
25년 GV70 4륜(5인/휘),SUV,2632,17812.25,68135409.0,548,11,5.0,4.802919708029197,1.781021897810219,63168,742.1770833333334,0.2819821745187437,0.020072992700729927,3825.1994554309535,5.0,2.2,4.0
25년 카니발리무진 7인승(경유),RV,2240,13203.083333333334,48466680.0,574,10,4.0,3.902439024390244,1.2735191637630663,53760,550.1284722222223,0.24559306795634925,0.017421602787456445,3670.860720664996,6.0,1.6666666666666667,2.0
23년 4세대 쏘렌토(5인/경유),SUV,1764,5942.366666666667,14667590.0,588,10,3.0,3.0,0.5595238095238095,42336,247.59861111111113,0.1403620244394054,0.017006802721088437,2468.3078010444774,6.0,1.6666666666666667,2.0
26년 레이(휘),URBAN,1079,9487.7,13854325.0,217,10,5.0,4.972350230414746,2.391705069124424,25896,395.3208333333334,0.36637704664813103,0.04608294930875576,1460.240627338554,9.0,1.1111111111111112,2.0
24년 벤츠 CLE 컨버터블(휘),IMPORTED,2450,12979.15,72085195.0,588,9,4.0,4.166666666666667,1.2772108843537415,58800,540.7979166666667,0.22073384353741496,0.015306122448979591,5553.922637460851,6.0,1.5,2.0
25년 카니발 리무진 하이브리드 7인(휘),RV,2199,14042.3,57590850.0,440,8,5.0,4.997727272727273,1.75,52776,585.0958333333333,0.2660735940579051,0.01818181818181818,4101.240537518783,4.0,2.0,4.0
25년 팰리세이드 하이브리드 4륜 (휘),SUV,1632,10417.1,37191084.0,327,8,5.0,4.990825688073395,1.7431192660550459,39168,434.04583333333335,0.2659594566993464,0.024464831804281346,3570.195543865375,4.0,2.0,3.0
26년 스타리아 11인승 하이브리드(휘),RV,913,5436.033333333334,24528931.0,187,8,5.0,4.882352941176471,1.6149732620320856,21912,226.5013888888889,0.2480847632956067,0.0427807486631016,4512.284876840343,3.0,2.6666666666666665,3.0
20년 더 뉴 그랜저(휘),LUXURY,2352,6648.133333333333,14977100.0,588,8,4.0,4.0,0.6326530612244898,56448,277.00555555555553,0.11777447089947089,0.013605442176870748,2252.8278614548444,3.0,2.6666666666666665,4.0
25년 GV80 4륜(7인/휘),SUV,2749,18930.466666666667,84879401.0,575,7,5.0,4.780869565217391,1.8208695652173914,65976,788.7694444444445,0.2869295905581828,0.01217391304347826,4483.745831235011,5.0,1.4,2.0
26년 BMW 420i 컨버터블(휘),IMPORTED,1532,10296.25,56634985.0,271,7,5.0,5.6531365313653135,2.162361623616236,36768,429.0104166666667,0.28003290905134903,0.025830258302583026,5500.544858565012,4.0,1.75,3.0
24년 더뉴그랜저 하이브리드(휘),LUXURY,2940,15882.733333333334,49165490.0,588,7,5.0,5.0,1.5153061224489797,70560,661.7805555555556,0.22509542705971278,0.011904761904761904,3095.5307860527782,4.0,1.75,2.0
24년 BMW 미니 컨버터블(휘),IMPORTED,2352,8302.183333333332,26343800.0,588,7,4.0,4.0,0.8282312925170068,56448,345.9243055555555,0.14707666052532123,0.011904761904761904,3173.117111763773,4.0,1.75,2.0
23년 지프 랭글러 파워탑(휘),IMPORTED,2352,9790.966666666667,39893750.0,588,6,4.0,4.0,0.9523809523809523,56448,407.95694444444445,0.17345108182161753,0.01020408163265306,4074.546605885016,3.0,2.0,3.0
24년 쏘나타 디엣지 하이브리드(휘),MIDSIZE,2940,17049.45,35481705.0,588,6,5.0,5.0,1.5765306122448979,70560,710.3937500000001,0.24163052721088438,0.01020408163265306,2081.1055488593474,3.0,2.0,3.0
24년 G80 4륜(휘),LUXURY,1764,6179.133333333333,21652599.0,588,6,3.0,3.0,0.6173469387755102,42336,257.4638888888889,0.14595458553791887,0.01020408163265306,3504.148208486627,3.0,2.0,3.0
24년 카니발 하이리무진 9인승(경유),RV,2940,16983.816666666666,78717482.0,588,5,5.0,5.0,1.5612244897959184,70560,707.6590277777777,0.24070034958427813,0.008503401360544218,4634.852315292303,3.0,1.6666666666666667,2.0
21년 G80(휘),LUXURY,1764,5578.433333333333,15805989.0,588,5,3.0,3.0,0.5510204081632653,42336,232.43472222222223,0.13176571554547745,0.008503401360544218,2833.410037465716,2.0,2.5,3.0
21년 QM6(휘),SUV,1764,5215.5,11259160.0,588,5,3.0,3.0,0.4812925170068027,42336,217.3125,0.12319302721088435,0.008503401360544218,2158.788227399099,3.0,1.6666666666666667,3.0
25년 BMW 미니 컨버터블(휘),IMPORTED,2280,13273.866666666667,49328985.0,456,4,5.0,5.0,1.6359649122807018,54720,553.0777777777778,0.24257797270955167,0.008771929824561403,3716.2483426080316,2.0,2.0,3.0
26년 더 K8(휘),LUXURY,788,4974.583333333333,15004920.0,197,4,4.0,4.0,1.3604060913705585,18912,207.27430555555554,0.2630384588268471,0.02030456852791878,3016.316944467711,3.0,1.3333333333333333,2.0
23년 4세대 쏘렌토(5인/휘),SUV,1764,5682.366666666667,13225777.0,588,4,3.0,3.0,0.5340136054421769,42336,236.76527777777778,0.1342206790123457,0.006802721088435374,2327.5120695015576,3.0,1.3333333333333333,2.0
21년 머스탱 컨버터블(휘),IMPORTED,1326,3012.7166666666667,12032895.0,442,4,3.0,3.0,0.39592760180995473,31824,125.52986111111112,0.09466807021954081,0.00904977375565611,3994.034730558798,1.0,4.0,4.0
22년 쏘렌토 하이브리드(7인/휘),SUV,1764,4766.583333333333,10791563.0,588,4,3.0,3.0,0.44047619047619047,42336,198.60763888888889,0.11258936444948349,0.006802721088435374,2264.0038462210878,2.0,2.0,2.0
24년 BMW 420i 컨버터블(휘),IMPORTED,2940,14179.366666666667,67992224.0,588,3,5.0,5.0,1.370748299319728,70560,590.8069444444444,0.20095474300831442,0.00510204081632653,4795.152392796105,2.0,1.5,2.0
24년 더 뉴 K5(휘),MIDSIZE,4704,35215.98333333333,64066721.0,588,3,8.0,8.0,3.2210884353741496,112896,1467.3326388888888,0.31193295894746786,0.00510204081632653,1819.2512301469174,2.0,1.5,2.0
20년 쏘나타DN8(LPG),MIDSIZE,8232,37292.48333333333,54472540.0,588,3,14.0,14.0,3.2210884353741496,197568,1553.853472222222,0.18875771042544,0.00510204081632653,1460.684168257321,3.0,1.0,1.0
