model_name,vehicle_class,fleet_vehicle_days,booked_hours,booked_revenue_krw,stockout_days,booked_vehicle_days,utilization_rate,repair_cost_raw_krw,repair_cost_winsorized_krw,repair_cost_removed_as_excess_krw,repair_cost_outlier_cap_vehicle_level_krw,depreciation_cost_krw,depreciation_status,profit_proxy_before_depreciation_krw,profit_margin_proxy_before_depreciation
25년 더뉴스포티지 하이브리드 4륜(휘),SUV,7304,57716.55,143742299.0,0,2404.8562500000003,0.32925195098576127,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,143742299.0,1.0
24년 더 올뉴머스탱컨버터블2.3 (휘),IMPORTED,4704,31159.35,143224105.0,1,1298.3062499999999,0.2760004783163265,986500.0,986500.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,142237605.0,0.9931121929510399
25년 레이(휘),URBAN,11110,94900.95,125948919.0,0,3954.2062499999997,0.3559141539153915,115000.0,115000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,125833919.0,0.9990869314249533
24년 쏘나타 디엣지(휘),MIDSIZE,8820,71083.35,122016502.0,0,2961.80625,0.3358056972789116,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,122016502.0,1.0
25년 아반떼 하이브리드(휘),COMPACT,7012,61777.96666666667,121899173.0,0,2574.0819444444446,0.36709668346326935,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,121899173.0,1.0
22년 EV6(전기),EV,12348,59275.566666666666,118758604.0,0,2469.8152777777777,0.2000174342223662,6913000.0,4810306.000000001,2102693.999999999,908483.0000000005,,unavailable_purchase_sale_fields,113948298.0,0.9594950947722491
24년 더 뉴 아반떼(휘),COMPACT,9408,70888.91666666667,112912795.0,0,2953.7048611111113,0.3139567241827287,130600.0,130600.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,112782195.0,0.9988433551751155
25년 카니발 하이브리드 9인승(휘),RV,4578,30344.916666666668,112757210.0,0,1264.3715277777778,0.2761842568321926,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,112757210.0,1.0
25년 투싼 하이브리드 4륜(휘),SUV,5225,44959.416666666664,111276734.0,1,1873.3090277777776,0.35852804359383306,99000.0,99000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,111177734.0,0.9991103261531741
24년 디올뉴 싼타페 4륜(7인/휘),SUV,6468,37239.566666666666,92511562.0,0,1551.648611111111,0.23989619837834122,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,92511562.0,1.0
25년 G80 4륜(휘),LUXURY,2885,24539.133333333335,91769310.0,20,1022.463888888889,0.35440689389562874,408650.0,408650.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,91360660.0,0.9955469862419146
