vehicle_class,age_bucket,fleet_vehicle_days,booked_vehicle_days,revenue_krw,active_model_days,utilization_rate,revenue_per_fleet_day
COMPACT,0-1년,18940,5936.847916666667,254352638.2938833,588,0.31345553942273846,13429.389561451071
COMPACT,2-3년,14053,2769.06875,98138255.32142729,588,0.19704467017718635,6983.438078803621
COMPACT,4-5년,24858,2851.3888888888887,85591307.03093286,588,0.11470709183719079,3443.2097124037678
COMPACT,6-7년,10647,332.8902777777778,10063946.858108109,588,0.0312661104327771,945.2378001416464
EV,0-1년,6174,1308.8208333333334,82498233.8737864,581,0.2119891210452435,13362.201793616197
EV,2-3년,7665,1499.1020833333334,72624283.37410882,365,0.19557757121113287,9474.792351481907
EV,4-5년,23338,3189.0486111111113,133720642.7978653,588,0.13664618266822826,5729.738743588367
EV,6-7년,7805,723.0472222222222,27200453.69743589,223,0.09263897786319311,3485.0036768015234
IMPORTED,0-1년,16257,3636.086111111111,384980069.1048698,588,0.2236627982475925,23680.880181144723
IMPORTED,2-3년,14061,2195.276388888889,217149466.3609838,588,0.15612519656417673,15443.387124741042
IMPORTED,4-5년,10738,1315.3236111111112,115465311.77049181,588,0.12249242047970862,10752.96254148741
IMPORTED,6-7년,2532,205.32638888888889,13648167.229508197,321,0.08109257065121994,5390.271417657265
LUXURY,0-1년,7520,2094.557638888889,174185108.79877505,588,0.27853160091607565,23162.913404092425
LUXURY,2-3년,6488,1061.3729166666667,66198156.110497236,588,0.16359015361693383,10203.168327758514
LUXURY,4-5년,5299,587.1416666666667,34355604.216292806,588,0.11080235264515317,6483.41276019868
LUXURY,6-7년,2247,109.85069444444444,5961590.195471897,321,0.04888771448350888,2653.1331533030248
MIDSIZE,0-1년,18629,5718.816666666667,258263008.79965898,547,0.3069846296992145,13863.492876679316
MIDSIZE,2-3년,14679,3068.6041666666665,117097570.87683226,588,0.20904722165451778,7977.217172616136
MIDSIZE,4-5년,31459,3042.8444444444444,108143394.76986507,588,0.096724131232539,3437.597977363078
MIDSIZE,6-7년,10258,458.4819444444444,14067491.029320851,223,0.044695061848746775,1371.367813347714
RV,0-1년,32926,6982.5125,660754875.3720111,588,0.2120668316831683,20067.875702241727
RV,2-3년,44829,4068.2805555555556,331988618.18759453,588,0.09075108870498017,7405.666380860482
RV,4-5년,5110,222.24166666666667,15784040.0,588,0.04349151989562949,3088.853228962818
RV,6-7년,11869,441.2083333333333,37522575.0,588,0.03717316819726458,3161.3931249473417
RV,8년+,1784,45.72569444444444,2191340.0,223,0.025630994643746886,1228.3295964125562
SUPERCAR,0-1년,1133,78.4375,31850855.0,457,0.06922992056487202,28111.963812886144
SUPERCAR,2-3년,463,45.791666666666664,20183740.0,365,0.09890208783297336,43593.390928725705
SUPERCAR,4-5년,811,125.94930555555555,54941906.0,588,0.15530123989587616,67745.87669543774
SUV,0-1년,55216,16305.689583333333,1065272578.0942045,588,0.2953073309065005,19292.82414688142
SUV,2-3년,48284,6791.457638888889,378409225.22715163,588,0.14065648328408767,7837.155687746492
SUV,4-5년,23093,1817.786111111111,93723904.72868338,588,0.07871589274287061,4058.5417541542192
SUV,6-7년,4050,48.63194444444444,2070694.355828221,321,0.012007887517146777,511.28255699462244
URBAN,0-1년,14014,4591.296527777778,146077776.67346457,588,0.3276221298542727,10423.703202045424
URBAN,2-3년,10914,1708.036111111111,49887848.24888833,588,0.1564995520534278,4570.995808034481
URBAN,4-5년,5575,884.175,25025956.124358036,223,0.1585964125560538,4488.960739795163
URBAN,6-7년,2744,11.815972222222221,231370.0,98,0.004306112325882734,84.31851311953353
