date,model_name,vehicle_class,model_year_latest,model_family,fleet_count,vehicle_age_years,age_bucket,booked_hours,revenue_krw,fleet_vehicle_days,booked_vehicle_days,utilization_rate,revenue_per_fleet_day
2025-01-01,16/18년 올뉴그랜드카니발11인(경유),RV,2018.0,카니발,3,7.000684462696783,6-7년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,16/18년 올뉴카니발9인(경유),RV,2018.0,카니발,7,7.000684462696783,6-7년,0.0,0.0,7,0.0,0.0,0.0
2025-01-01,18/19년 그랜져IG(휘),LUXURY,2019.0,그랜져IG,5,6.0013689253935665,6-7년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,18/19년 쏠라티(15인/경유),RV,2019.0,쏠라티,3,6.0013689253935665,6-7년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,18/19년 올뉴 K3(휘),COMPACT,2019.0,K3,2,6.0013689253935665,6-7년,0.0,0.0,2,0.0,0.0,0.0
2025-01-01,18년 뉴k3(휘),COMPACT,2018.0,K3,2,7.000684462696783,6-7년,0.0,0.0,2,0.0,0.0,0.0
2025-01-01,18년 뉴레이(휘),URBAN,2018.0,레이,22,7.000684462696783,6-7년,0.0,0.0,22,0.0,0.0,0.0
2025-01-01,18년 모닝(휘),URBAN,2018.0,모닝,5,7.000684462696783,6-7년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,18년 올뉴 쏘렌토(7인/경유),SUV,2018.0,쏘렌토,3,7.000684462696783,6-7년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,18년 올뉴카니발리무진7인(경유),RV,2018.0,카니발,7,7.000684462696783,6-7년,0.0,0.0,7,0.0,0.0,0.0
2025-01-01,18년 코나(휘),SUV,2018.0,코나,13,7.000684462696783,6-7년,0.0,0.0,13,0.0,0.0,0.0
2025-01-01,19/20년 머스탱 컨버터블(휘),IMPORTED,2020.0,머스탱,3,5.002053388090349,4-5년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,19년 G80(휘),LUXURY,2019.0,G80,2,6.0013689253935665,6-7년,0.0,0.0,2,0.0,0.0,0.0
2025-01-01,19년 더뉴 아반떼(휘),COMPACT,2019.0,아반떼,8,6.0013689253935665,6-7년,0.0,0.0,8,0.0,0.0,0.0
2025-01-01,19년 더뉴그랜드스타렉스12인(경유),RV,2019.0,더뉴그랜드스타렉스12인,2,6.0013689253935665,6-7년,0.0,0.0,2,0.0,0.0,0.0
2025-01-01,19년 더뉴카니발리무진7인(경유),RV,2019.0,카니발,5,6.0013689253935665,6-7년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,19년 더뉴카니발하이리무진7인(경유),RV,2019.0,카니발,4,6.0013689253935665,6-7년,0.0,0.0,4,0.0,0.0,0.0
2025-01-01,19년 베뉴(휘),SUV,2019.0,베뉴,2,6.0013689253935665,6-7년,0.0,0.0,2,0.0,0.0,0.0
