model_name,vehicle_class,model_family,model_year_latest,fleet_vehicle_days,booked_vehicle_days,revenue_krw,avg_vehicle_age_years,last_observed_age_years,utilization_rate,revenue_per_fleet_day,old_fleet_vehicle_days,old_booked_vehicle_days,old_revenue_krw,old_utilization_rate,old_revenue_per_fleet_day,reservation_count,unique_joined_users,active_months,avg_reservation_price_krw,avg_rental_hours,old_reservation_count,old_unique_joined_users,old_active_months,old_avg_reservation_price_krw,old_repeat_user_share,old_high_value_user_share,old_revenue_share,class_old_revenue_per_fleet_day_median,old_revenue_vs_class_median,long_hold_score,holding_period_signal,recommended_holding_period_proxy,decline_risk_score
18/19년 올뉴 K3(휘),COMPACT,K3,2019.0,196,0.0,0.0,6.134154688569473,6.26694045174538,0.0,0.0,196.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,407.6530612244898,0.0,0.0,교체/매각 검토,6년 전후 교체 검토,100.0
18년 모닝(휘),URBAN,모닝,2018.0,490,0.0,0.0,7.13347022587269,7.266255989048597,0.0,0.0,490.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,97.1103896103896,0.0,0.0,교체/매각 검토,6년 전후 교체 검토,100.0
20년 K5(LPG) 청주지점,MIDSIZE,K5,2020.0,3226,0.0,0.0,5.805612594113621,6.609171800136893,0.0,0.0,1115.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,1034.9617232543242,0.0,0.0,교체/매각 검토,6년 전후 교체 검토,100.0
19년 싼타페TM 2륜 (5인/경유),SUV,싼타페,2019.0,196,0.0,0.0,6.134154688569473,6.26694045174538,0.0,0.0,196.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.0,교체/매각 검토,6년 전후 교체 검토,100.0
19년 벤츠 E클래스 카브리올레[경유],IMPORTED,벤츠,2019.0,294,0.0,0.0,6.134154688569473,6.26694045174538,0.0,0.0,294.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,2971.95067264574,0.0,0.0,교체/매각 검토,6년 전후 교체 검토,100.0
19년 베뉴(휘),SUV,베뉴,2019.0,196,0.0,0.0,6.134154688569473,6.26694045174538,0.0,0.0,196.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.0,교체/매각 검토,6년 전후 교체 검토,100.0
19년 더뉴 아반떼(휘),COMPACT,아반떼,2019.0,784,0.0,0.0,6.134154688569473,6.26694045174538,0.0,0.0,784.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,407.6530612244898,0.0,0.0,교체/매각 검토,6년 전후 교체 검토,100.0
19/20년 머스탱 컨버터블(휘),IMPORTED,머스탱,2020.0,1326,111.925,9515275.0,5.605749486652978,6.209445585215605,0.0844079939668174,7175.92383107089,231.0,0.0,0.0,0.0,0.0,55.0,46.0,10.0,173005.0,48.84,0.0,0.0,0.0,,,,0.0,2971.95067264574,0.0,0.0,교체/매각 검토,6년 전후 교체 검토,100.0
18년 코나(휘),SUV,코나,2018.0,1274,0.0,0.0,7.13347022587269,7.266255989048597,0.0,0.0,1274.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.0,교체/매각 검토,6년 전후 교체 검토,100.0
18년 올뉴 쏘렌토(7인/경유),SUV,쏘렌토,2018.0,294,0.0,0.0,7.13347022587269,7.266255989048597,0.0,0.0,294.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.0,교체/매각 검토,6년 전후 교체 검토,100.0
20년 QM6(LPG),SUV,QM6,2020.0,1766,14.636805555555556,839680.0,5.605749486652978,6.209445585215605,0.0082881118661129,475.46998867497166,306.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,119954.28571428572,50.18285714285714,0.0,0.0,0.0,,,,0.0,0.0,,0.0,교체/매각 검토,6년 전후 교체 검토,100.0
18/19년 그랜져IG(휘),LUXURY,그랜져IG,2019.0,490,0.0,0.0,6.134154688569473,6.26694045174538,0.0,0.0,490.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,1806.7274837364996,0.0,0.0,교체/매각 검토,6년 전후 교체 검토,100.0
19년 G80(휘),LUXURY,G80,2019.0,196,0.0,0.0,6.134154688569473,6.26694045174538,0.0,0.0,196.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,1806.7274837364996,0.0,0.0,교체/매각 검토,6년 전후 교체 검토,100.0
16/18년 올뉴그랜드카니발11인(경유),RV,카니발,2018.0,720,1.4027777777777777,105300.0,7.32785763175907,7.655030800821355,0.0019483024691358,146.25,720.0,1.4027777777777777,105300.0,0.0019483024691358,146.25,2.0,2.0,2.0,52650.0,16.835,2.0,2.0,2.0,52650.0,0.5,0.0,1.0,3064.497444633731,0.0477239751842833,4.944150825435432,교체/매각 검토,6년 전후 교체 검토,90.94652476897063
20년 쏘나타DN8(휘),MIDSIZE,쏘나타,2020.0,4116,137.58958333333334,4832230.0,5.805612594113621,6.609171800136893,0.0334279842889536,1174.011175898931,1561.0,13.399305555555555,366240.0,0.0085837959997152,234.61883408071748,50.0,41.0,13.0,96644.6,66.0432,5.0,3.0,1.0,73248.0,0.4,0.2,0.0757910943808552,1034.9617232543242,0.226693247498066,9.10160217039955,교체/매각 검토,6년 전후 교체 검토,81.76051302931303
20년 셀토스(휘),SUV,셀토스,2020.0,2352,86.01736111111111,3614085.0,5.805612594113621,6.609171800136893,0.0365720072751322,1536.6007653061224,892.0,21.395833333333332,843294.3558282208,0.0239863602391629,945.3972598971086,36.0,27.0,12.0,100391.25,57.345,8.0,7.0,3.0,73756.25,0.375,0.125,0.2333355070033551,0.0,,7.651854820569086,교체/매각 검토,6년 전후 교체 검토,81.50284161684107
