model_family,vehicle_class,model_count,fleet_vehicle_days,booked_vehicle_days,revenue_krw,old_fleet_vehicle_days,old_booked_vehicle_days,old_revenue_krw,reservation_count,old_reservation_count,old_active_months,avg_long_hold_score,max_long_hold_score,utilization_rate,revenue_per_fleet_day,old_utilization_rate,old_revenue_per_fleet_day,class_family_old_revenue_median,old_revenue_vs_class_family_median,long_hold_family_score,decline_family_score,family_holding_signal
K3,COMPACT,7,36704,4412.085416666667,145755503.05628416,8356.0,304.7861111111111,9285326.858108107,1844.0,111.0,8.0,24.16197088564643,77.01724052717971,0.12020720947762278,3971.10677463721,0.0364751210042019,1111.2167135122197,407.6530612244898,2.725888308490551,70.13967913586924,15.881219748949526,길게 보유 가능 차종
테슬라 모델3,IMPORTED,1,2940,388.99652777777777,26180921.0,1115.0,141.69444444444446,8346207.229508197,190.0,67.0,8.0,71.60400771539638,71.60400771539638,0.13231174414210128,8905.075170068027,0.12708021923268562,7485.387649783136,4470.455311973019,1.6744128119870385,68.42791899653298,0.0,길게 보유 가능 차종
더뉴그랜드스타렉스12인,RV,1,1176,82.96180555555556,5904315.0,1176.0,82.96180555555556,5904315.0,35.0,35.0,16.0,54.28707710075551,54.28707710075551,0.07054575302343159,5020.676020408163,0.07054575302343159,5020.676020408163,4913.735827664399,1.0217635209735307,54.55629568160037,7.363561744142102,추가 관찰 차종
코나,EV,1,20580,1960.0069444444443,70310414.32924737,7805.0,723.0472222222222,27200453.69743589,754.0,272.0,8.0,40.52451294419113,40.52451294419113,0.09523843267465716,3416.44384495857,0.09263897786319311,3485.0036768015234,3485.0036768015234,1.0,53.77316297719885,1.8402555342017235,길게 보유 가능 차종
SM6,MIDSIZE,1,1176,77.75347222222223,2251885.0,446.0,33.27777777777778,996655.0,30.0,13.0,6.0,57.61028730096466,57.61028730096466,0.06611689814814815,1914.8681972789116,0.07461385151968111,2234.652466367713,1406.7139850498831,1.5885620603170945,51.76693477107895,11.596537120079724,추가 관찰 차종
쏠라티,RV,5,7291,447.83124999999995,101498305.0,1764.0,47.87430555555556,8667830.0,196.0,20.0,12.0,10.217748956207148,51.088744781035736,0.06142247291180907,13921.040323686737,0.02713962899974805,4913.735827664399,4913.735827664399,1.0,45.871593864700884,18.21509275006299,추가 관찰 차종
K5,MIDSIZE,11,43861,6384.8388888888885,261204223.71472478,5129.0,226.76388888888894,7215036.029320851,2682.0,92.0,8.0,8.386077973704776,81.71442589366255,0.1455698431154987,5955.2728782910735,0.04421210545698751,1406.7139850498831,1406.7139850498831,1.0,45.15322160615473,13.946973635753125,길게 보유 가능 차종
벤츠,IMPORTED,4,6272,1025.7756944444445,116916765.0,1186.0,63.63194444444444,5301960.0,501.0,31.0,8.0,14.408074708831235,57.63229883532494,0.1635484206703515,18641.065848214286,0.05365256698519767,4470.455311973019,4470.455311973019,1.0,44.50204848881347,11.586858253700584,추가 관찰 차종
카니발,RV,21,65408,8894.352777777778,745581858.624071,10713.0,356.09791666666666,25141770.0,3387.0,128.0,16.0,6.609644323681426,44.06291382746802,0.13598264398510546,11398.939863993257,0.03323979433087526,2346.8468216185943,4913.735827664399,0.4776094816505631,42.70410794657099,40.197624743005846,길면 수익률 하락 차종
쏘나타,MIDSIZE,5,29988,5826.154861111111,234115356.76095238,4683.0,198.4402777777778,5855800.0,2420.0,73.0,8.0,12.29224064831325,52.35960107116669,0.19428287518711188,7806.968012570108,0.04237460554725129,1250.4377535767671,1406.7139850498831,0.8889068900046697,42.70404373460137,19.405538562977043,추가 관찰 차종
엑센트,URBAN,1,98,0.25,22000.0,98.0,0.25,22000.0,1.0,1.0,1.0,49.88317797215606,49.88317797215606,0.002551020408163265,224.48979591836735,0.002551020408163265,224.48979591836735,97.1103896103896,2.3116969957491524,38.2126158025206,51.11224489795919,추가 관찰 차종
더 뉴 그랜저,LUXURY,2,4116,443.49513888888885,23619620.0,1561.0,109.85069444444444,5961590.195471897,182.0,43.0,7.0,57.30866467085792,61.75241984293307,0.10774906192635783,5738.488824101069,0.07037200156594775,3819.0840457859686,0.0,,31.285981857503504,52.40699960851306,추가 관찰 차종
아반떼,COMPACT,6,31402,7476.089583333333,302230844.44806737,1899.0,26.083333333333332,618820.0,3241.0,12.0,4.0,6.2146106994305335,37.2876641965832,0.2380768608156593,9624.573098785662,0.013735299280322976,325.8662453923117,407.6530612244898,0.7993715156056708,26.29479076959357,41.59445697766407,길면 수익률 하락 차종
