model_family,vehicle_class,old_year_count,newest_model_year,recent_old_revenue_krw,early_old_revenue_krw,recent_old_reservations,early_old_reservations,avg_recent_old_share,avg_share_change,avg_newer_year_pressure,avg_hold_value_score,avg_cannibalization_risk_score,old_revenue_retention,old_reservation_retention,family_signal
포르쉐,SUPERCAR,1,2025.0,5933041.0,2114130.0,10.0,3.0,0.4884809286688571,-0.5115190713311428,0.5115190713311429,93.62543532233174,33.672786069967145,2.8063747262467302,3.3333333333333335,차종 단위로 신형 쏠림
벤츠,SUPERCAR,1,2024.0,7618254.661508704,3365470.0,10.0,5.0,0.32185207932039434,-0.13668186047606762,0.4977660104898143,87.89642306791762,18.93376457638992,2.263652524464251,2.0,차종 단위 추가 관찰
코나,EV,1,2024.0,9810349.485650115,4049030.887096774,68.0,58.0,0.7884188314868947,0.26909521882911625,0.21158116851310524,82.81705013296784,11.173717527696578,2.422888280974391,1.1724137931034482,차종 단위로 구형도 유지
투싼,SUV,4,2026.0,29324397.64070229,14850160.017965369,184.0,135.0,0.20107533391573304,-0.04892466608426696,0.19569866433706795,77.07349561871791,10.52486772331746,1.9746856333686864,1.362962962962963,차종 단위로 구형도 유지
레이,SUV,1,2026.0,2879217.6174942264,1398340.0,23.0,11.0,0.1409251735731764,-0.0075485799511808005,0.19382535662714373,75.13466194147043,11.209323547454389,2.0590254283609326,2.090909090909091,차종 단위 추가 관찰
스포티지,SUV,2,2026.0,13295580.345909465,9985157.813944947,73.0,90.0,0.23546515680716537,-0.26453484319283466,0.5290696863856692,65.71620606910906,28.610100254039565,1.3315343226064278,0.8111111111111111,차종 단위로 구형도 유지
GV70,SUV,2,2025.0,3702016.4539007093,3500227.2818791945,23.0,21.0,0.1689872686833343,-0.0993069211700182,0.6620254626333314,62.84873081250623,20.616944500586413,1.0576503054719288,1.0952380952380953,차종 단위 추가 관찰
레이,URBAN,3,2026.0,13672562.121523624,8019755.5677839825,155.0,146.0,0.22363102199434257,-0.06021106016420507,0.19382535662714373,58.439307470738605,21.952346314933504,1.7048602050226356,1.0616438356164384,차종 단위로 구형도 유지
카니발,RV,6,2026.0,73120107.26249596,38668371.40136388,281.0,244.0,0.13865444874753668,-0.02801221791913001,0.16807330751477997,58.2131975854006,22.474921662820233,1.8909538884773651,1.151639344262295,차종 단위 추가 관찰
GV80,SUV,2,2025.0,3895245.620689655,2488535.0,11.0,17.0,0.09652367020469786,-0.03498323405208963,0.8069526595906042,57.20046355989233,26.309174811498206,1.5652766067946222,0.6470588235294118,차종 단위 추가 관찰
미니,IMPORTED,2,2025.0,4609877.571428571,3319625.0,27.0,30.0,0.17948624624161175,-0.13149961778603367,0.6410275075167764,56.19952142536502,27.200218700299743,1.3886741940516085,0.9,차종 단위 추가 관찰
K3,COMPACT,5,2024.0,8748984.43452381,3468219.071390231,81.0,60.0,0.09948959846405805,0.014813106188916597,0.5096633022446754,50.568882887563326,26.96547880655293,2.5226158597348323,1.35,차종 단위 추가 관찰
K5,MIDSIZE,4,2026.0,16344948.553081702,10940223.365221089,155.0,150.0,0.10118206361012831,-0.14881793638987167,0.5952717455594867,50.171909724068755,38.102381874281285,1.4940232943545015,1.0333333333333334,차종 단위 추가 관찰
벤츠,IMPORTED,3,2024.0,4269648.75,1637660.0,24.0,12.0,0.06012730339659713,-0.014247914314160845,0.4977660104898143,48.55383745424617,34.36974006324698,2.607164338141006,2.0,차종 단위 추가 관찰
쏠라티,RV,4,2026.0,6837340.0,6204160.0,11.0,18.0,0.1693972364625214,-0.08060276353747862,0.32241105414991444,47.00908142132483,32.03249857597008,1.1020573292758407,0.6111111111111112,차종 단위 추가 관찰
스타리아,RV,3,2026.0,10326880.91703778,9174774.90846682,46.0,59.0,0.1690945679614327,-0.16423876537190057,0.4927162961157017,45.98411571556014,39.32537442169092,1.1255732178789208,0.7796610169491526,차종 단위 추가 관찰
G80,LUXURY,3,2025.0,4205179.805280811,1917470.0,20.0,17.0,0.09645957883372243,0.017573309928748865,0.7106212634988327,45.17591061414905,37.69720856926882,2.1930876651425115,1.1764705882352942,차종 단위 추가 관찰
아반떼,COMPACT,5,2026.0,28913668.43013313,30904208.412773132,214.0,410.0,0.1408263952440298,-0.1454836416638821,0.29586802377985083,40.39169722499802,46.6835478955519,0.9355900026283384,0.5219512195121951,차종 단위 추가 관찰
쏘렌토,SUV,4,2024.0,7303192.373214286,683375.0,34.0,6.0,0.07539012155919285,0.05587091039953106,0.6984395137632284,37.93394616653437,43.47659270644843,10.686946951840916,5.666666666666667,차종 단위 추가 관찰
