model_family,vehicle_class,model_year_latest,first_month,last_month,active_months,early_revenue_krw,recent_revenue_krw,early_reservations,recent_reservations,early_revenue_per_fleet_day,recent_revenue_per_fleet_day,early_utilization_rate,recent_utilization_rate,early_family_revenue_share,recent_family_revenue_share,newest_model_year,family_model_year_count,newest_recent_revenue_share,has_newer_year_in_family,year_gap_to_newest,revenue_per_fleet_day_retention,reservation_retention,family_share_change,newer_year_pressure,hold_value_score,cannibalization_risk_score,year_switch_signal
GV80,SUV,2025.0,2025-01,2026-08,20,6973078.494987123,16282424.853448987,40.0,66.0,15884.005683341966,32306.39851874799,0.19514996203492788,0.3111800044091711,0.736986191486425,0.8069526595906044,2025.0,3,0.8069526595906042,False,0.0,2.0338949231571153,1.65,0.06996646810417939,0.0,100.0,0.0,추가 관찰
캐스퍼,URBAN,2022.0,2025-01,2026-08,20,2754253.481012658,7545867.047275641,41.0,71.0,3060.28164556962,10480.370898993946,0.10255787037037038,0.26701388888888894,1.0,1.0,2022.0,1,1.0,False,0.0,3.424642602476283,1.7317073170731707,0.0,0.0,100.0,0.0,추가 관찰
벤츠,IMPORTED,2024.0,2025-01,2026-08,20,2336501.176470588,11782146.126760563,16.0,35.0,5192.224836601306,40910.22960680751,0.06625,0.27645158179012347,0.3183404070712641,0.4977660104898143,2024.0,4,0.4977660104898143,False,0.0,7.879132913971858,2.1875,0.17942560341855018,0.0,99.91064041959257,0.0,추가 관찰
포르쉐,SUPERCAR,2025.0,2025-05,2026-08,16,4861625.0,6212860.0,4.0,8.0,60020.06172839506,86289.72222222222,0.11985596707818931,0.2282021604938272,0.41784997410016383,0.5115190713311429,2025.0,2,0.5115190713311429,False,0.0,1.4376813308307406,2.0,0.0936690972309791,0.0,97.23802734901358,0.0,추가 관찰
EV6,EV,2022.0,2025-01,2026-08,20,6792768.72900336,18360784.973314,69.0,100.0,3594.057528573206,12143.37630510185,0.08832120811287476,0.20490749926513813,1.0,1.0,2022.0,1,1.0,False,0.0,3.378737320858248,1.4492753623188406,0.0,0.0,96.61812145349283,0.0,추가 관찰
머스탱,IMPORTED,2024.0,2025-01,2026-08,20,9447351.627027027,18756144.545661915,60.0,74.0,13121.321704204205,32562.750947329714,0.1633082561728395,0.2724790219907407,0.7121959580406277,0.8928350654548943,2024.0,4,0.8928350654548943,False,0.0,2.481666990673377,1.2333333333333334,0.1806391074142666,0.0,96.44444444444444,0.0,추가 관찰
G80,LUXURY,2025.0,2025-01,2026-08,20,6184785.0,10326571.408111636,39.0,48.0,15657.683544303798,28684.920578087876,0.21751054852320673,0.2958198302469136,0.7633411932850793,0.7106212634988327,2025.0,4,0.7106212634988327,False,0.0,1.8320028308736214,1.2307692307692308,-0.05271992978624662,0.0,96.41025641025641,2.108797191449865,추가 관찰
투싼,SUV,2025.0,2025-01,2026-08,20,9649903.351298701,20109498.285182808,90.0,128.0,12292.870511208537,17456.161705887855,0.2450504246284501,0.28263044945987653,0.6498181393078916,0.5515576663656448,2026.0,5,0.19569866433706795,True,1.0,1.420023231349543,1.4222222222222223,-0.09826047294224671,0.19569866433706795,95.13985171774827,8.865898882745888,구형 연식도 보유 가치 있음
EV3,EV,2025.0,2025-01,2026-08,20,1643340.0,9372126.96963347,28.0,52.0,4994.954407294833,11833.493648527108,0.12041962174940898,0.16513222502805838,1.0,1.0,2025.0,1,1.0,False,0.0,2.3690894217662923,1.8571428571428572,0.0,0.0,94.9079335016835,0.0,추가 관찰
쏘렌토,SUV,2024.0,2025-01,2026-08,20,8069220.0,16914809.342965975,59.0,92.0,4075.3636363636365,10678.541251872459,0.07299031986531986,0.16120449284511784,0.9219231553613528,0.6984395137632284,2024.0,5,0.6984395137632284,False,0.0,2.6202670987663574,1.5593220338983051,-0.2234836415981244,0.0,94.67226957070707,8.939345663924975,추가 관찰
K3,COMPACT,2024.0,2025-01,2026-08,20,4723473.754337266,9019964.534932945,82.0,89.0,5248.304171485851,13919.698356378001,0.17225925925925925,0.3299179098079561,0.5766175386242927,0.5096633022446754,2024.0,6,0.5096633022446754,False,0.0,2.6522278247522353,1.0853658536585367,-0.06695423637961728,0.0,94.47154471544715,2.6781694551846913,추가 관찰
포르쉐,SUPERCAR,2022.0,2025-01,2026-08,20,2114130.0,5933041.0,3.0,10.0,11745.166666666666,82403.34722222222,0.03263888888888889,0.23668981481481477,1.0,0.4884809286688571,2025.0,2,0.5115190713311429,True,3.0,7.015936815616826,3.3333333333333335,-0.5115190713311428,0.5115190713311429,93.62543532233174,33.672786069967145,신형 전환 영향 큼
테슬라 모델Y RWD,IMPORTED,2026.0,2026-04,2026-08,5,7484395.0,11564016.157894736,36.0,43.0,18078.248792270533,25812.53606672932,0.18037104133118625,0.22018539186507938,1.0,1.0,2026.0,1,1.0,False,0.0,1.4278228142189098,1.1944444444444444,0.0,0.0,92.45291510293858,0.0,추가 관찰
더뉴그랜드스타렉스12인,RV,2019.0,2025-01,2026-08,20,49210.00000000001,1637752.1186440676,1.0,7.0,273.3888888888889,11373.278601694914,0.007638888888888889,0.12232349537037036,1.0,1.0,2019.0,1,1.0,False,0.0,41.601100351657884,7.0,0.0,0.0,92.33940972222223,0.0,추가 관찰
아우디A5 카브리올레,IMPORTED,2021.0,2025-01,2026-08,20,277620.27777777775,818662.5,2.0,4.0,3084.6697530864194,11370.3125,0.03634259259259259,0.12210648148148147,1.0,1.0,2021.0,1,1.0,False,0.0,3.686071252400111,2.0,0.0,0.0,92.32638888888889,0.0,추가 관찰
스타리아,RV,2026.0,2026-02,2026-08,7,7372890.0,10030329.137147494,39.0,38.0,18524.849246231155,27862.02538096526,0.23183975432719148,0.23954475308641973,0.27827823556047804,0.4927162961157018,2026.0,4,0.4927162961157018,False,0.0,1.5040352021560304,0.9743589743589743,0.21443806055522374,0.0,92.07279002126626,0.5128205128205132,추가 관찰
레이,URBAN,2025.0,2025-01,2026-08,20,7113875.5677839825,12624105.773209017,130.0,146.0,6185.978754594767,8766.74012028404,0.19471557971014491,0.2555545910493827,0.7553411957421698,0.6178950442946805,2026.0,5,0.19382535662714373,True,1.0,1.417195316710772,1.123076923076923,-0.1374461514474894,0.19382535662714373,91.10399613133887,10.405226407306731,구형 연식도 보유 가치 있음
EV4,EV,2026.0,2026-04,2026-08,5,6203071.6870229,8407234.129829135,47.0,41.0,12607.86928256687,19461.19011534522,0.19799429765130985,0.24047550154320987,1.0,1.0,2026.0,1,1.0,False,0.0,1.5435748641726927,0.8723404255319149,0.0,0.0,91.05973576635147,2.5531914893617014,추가 관찰
BMW Z4 로드스터,IMPORTED,2021.0,2025-01,2026-08,20,1036900.0,2464125.7857142854,7.0,9.0,5760.555555555556,17111.984623015873,0.07384259259259258,0.14515817901234568,1.0,1.0,2021.0,1,1.0,False,0.0,2.9705441529008167,1.2857142857142858,0.0,0.0,90.85234788359787,0.0,추가 관찰
니로 하이브리드,SUV,2022.0,2025-01,2026-08,20,989320.6734693877,3008908.778625954,9.0,21.0,1374.0564909297052,5223.799962892281,0.03206983024691358,0.08734085648148147,1.0,1.0,2022.0,1,1.0,False,0.0,3.801735952906701,2.3333333333333335,0.0,0.0,90.24045138888889,0.0,추가 관찰
아이오닉,EV,2021.0,2025-01,2026-08,20,2239720.0,5478076.554295091,25.0,32.0,2488.5777777777776,7608.439658743182,0.06751543209876543,0.12401138117283951,1.0,1.0,2021.0,1,1.0,False,0.0,3.0573445309542553,1.28,0.0,0.0,89.50734953703703,0.0,추가 관찰
QM6,SUV,2021.0,2025-01,2026-08,20,402706.4893617021,836235.0,3.0,5.0,1491.5055161544524,3871.4583333333335,0.03263888888888889,0.0697337962962963,0.6418129468006682,1.0,2021.0,2,1.0,False,0.0,2.5956714818696156,1.6666666666666667,0.35818705319933175,0.0,89.18402777777777,0.0,추가 관찰
SM6,MIDSIZE,2020.0,2025-01,2026-08,20,200080.0,363185.0,2.0,3.0,1111.5555555555557,2522.1180555555557,0.032214506172839504,0.055121527777777776,1.0,1.0,2020.0,1,1.0,False,0.0,2.268998650539784,1.5,0.0,0.0,88.30729166666667,0.0,추가 관찰
벤츠,SUPERCAR,2021.0,2025-01,2026-08,20,3365470.0,7618254.661508704,5.0,10.0,37394.11111111111,105809.09252095422,0.08016975308641976,0.26630015432098764,0.45853393979646195,0.32185207932039434,2024.0,4,0.4977660104898143,True,3.0,2.829565655580314,2.0,-0.13668186047606762,0.4977660104898143,87.89642306791762,18.93376457638992,추가 관찰
팰리세이드,SUV,2026.0,2026-01,2026-08,8,16841953.943661973,19908820.04328427,115.0,104.0,16463.29808764611,21270.106883850716,0.25286398935592486,0.2864323658594492,0.43546182564384794,0.646515135268396,2026.0,3,0.6465151352683961,False,0.0,1.2919711937799137,0.9043478260869565,0.21105330962454805,0.0,87.20396553602407,1.9130434782608696,추가 관찰
싼타페,SUV,2024.0,2025-01,2026-08,20,9143585.0,14163975.838552378,73.0,73.0,5079.769444444444,9836.09433232804,0.09091473765432098,0.1348283179012346,1.0,1.0,2024.0,2,1.0,False,0.0,1.9363269219010348,1.0,0.0,0.0,86.4230324074074,0.0,추가 관찰
그랜저 GN7,LUXURY,2026.0,2026-02,2026-08,7,6408029.804573869,7590581.146299483,44.0,33.0,15553.470399451138,21084.947628609676,0.21552218176914778,0.23526234567901233,1.0,1.0,2026.0,1,1.0,False,0.0,1.3556426371154913,0.75,0.0,0.0,85.74740227343554,5.0,추가 관찰
K5,MIDSIZE,2026.0,2026-02,2026-08,7,19606965.022266902,24040046.49915791,271.0,181.0,9545.747333138706,12659.318851583945,0.2738771908471275,0.2478212216956293,0.44586507532505953,0.5952717455594867,2026.0,5,0.5952717455594867,False,0.0,1.326173678160982,0.6678966789667896,0.14940667023442716,0.0,84.7186148450512,6.642066420664207,추가 관찰
카니발,RV,2025.0,2025-01,2026-08,20,15687782.89971618,29709910.849874567,96.0,122.0,12879.953119635615,18756.256849668287,0.1944712415617588,0.1985791070426487,0.405700636752518,0.3380255964154503,2026.0,7,0.16807330751477997,True,1.0,1.456236422248633,1.2708333333333333,-0.06767504033706767,0.16807330751477997,84.67833150094168,7.228101226204407,구형 연식도 보유 가치 있음
K3,COMPACT,2022.0,2025-01,2026-08,20,2322234.071390231,7280429.43452381,40.0,60.0,1032.1040317289917,4815.098832357017,0.0404608024691358,0.11749660126396237,0.2834864686450197,0.41137276016865454,2024.0,6,0.5096633022446754,True,2.0,4.6653231499258,1.5,0.12788629152363484,0.5096633022446754,83.40807346013717,11.64494953367013,구형 연식도 보유 가치 있음
스포티지,SUV,2026.0,2025-12,2026-08,9,5938892.852991029,14937005.15887056,45.0,84.0,24540.87955781417,18859.854998573937,0.421857782369146,0.25871212121212117,0.15240294262413404,0.5290696863856692,2026.0,3,0.5290696863856692,False,0.0,0.7685077038149062,1.8666666666666667,0.3766667437615352,0.0,82.9318464223478,8.102230366478283,추가 관찰
코나,EV,2020.0,2025-01,2026-08,20,4049030.887096774,9810349.485650115,58.0,68.0,1285.4066308243725,3892.9958276389343,0.03904122574955909,0.0716779651675485,0.5193236126577785,0.7884188314868947,2024.0,3,0.21158116851310524,True,4.0,3.0286103512179885,1.1724137931034482,0.26909521882911625,0.21158116851310524,82.81705013296784,11.173717527696578,구형 연식도 보유 가치 있음
더뉴그랜저 하이브리드,LUXURY,2024.0,2025-01,2026-08,20,3515390.238095238,4153437.29946524,31.0,19.0,7811.978306878306,11537.32583184789,0.1471064814814815,0.14949845679012344,1.0,1.0,2024.0,1,1.0,False,0.0,1.4768763274328964,0.6129032258064516,0.0,0.0,81.60239805826102,7.741935483870968,추가 관찰
더 K8,LUXURY,2026.0,2026-01,2026-08,8,5386928.712871287,6318519.271523179,31.0,28.0,21042.690284653465,21939.303026122147,0.30391438802083337,0.2751736111111111,1.0,1.0,2026.0,1,1.0,False,0.0,1.0426092257852877,0.9032258064516129,0.0,0.0,81.37055935434489,1.9354838709677424,추가 관찰
카니발,RV,2024.0,2025-01,2026-08,20,13758085.885714285,29214674.71631746,80.0,95.0,5661.763738977072,15028.124854072768,0.08386202560585278,0.14737940100594424,0.3557968796490101,0.33239102920796143,2026.0,7,0.16807330751477997,True,2.0,2.654318609343446,1.1875,-0.023405850441048648,0.16807330751477997,81.29100548686064,7.457333630363646,구형 연식도 보유 가치 있음
아반떼,COMPACT,2024.0,2025-01,2026-08,20,11774390.208959132,14936165.758349506,165.0,120.0,8176.659867332731,12965.421665233946,0.24897569444444442,0.2772081163194444,0.814306557323796,0.3637391062290028,2026.0,6,0.29586802377985083,True,2.0,1.5856623457009877,0.7272727272727273,-0.4505674510947932,0.29586802377985083,81.2878537083313,31.915263855034944,구형 연식도 보유 가치 있음
모닝,URBAN,2022.0,2025-01,2026-08,20,1443311.6585858585,2509328.0020263423,37.0,32.0,763.65696221474,2323.4518537280946,0.04024911816578484,0.07878022119341564,1.0,1.0,2022.0,2,1.0,False,0.0,3.0425334524413605,0.8648648648648649,0.0,0.0,81.25834480313647,2.7027027027027017,추가 관찰
쏘나타,MIDSIZE,2024.0,2025-01,2026-08,20,11868400.129270855,12303210.674642857,148.0,101.0,6593.555627372697,8543.896301835317,0.18559799382716047,0.19418161651234567,0.8221742668050316,0.8761777418310065,2024.0,3,0.8761777418310065,False,0.0,1.2957949829627453,0.6824324324324325,0.05400347502597491,0.0,80.98521235897056,6.351351351351351,추가 관찰
K5,MIDSIZE,2024.0,2025-01,2026-08,20,8450393.365221089,13409911.941569071,111.0,120.0,5216.292200753758,10347.154275902061,0.13929398148148148,0.23415262774348422,0.7724150671443184,0.3320518406458342,2026.0,5,0.5952717455594867,True,2.0,1.9836224424710889,1.0810810810810811,-0.4403632264984842,0.5952717455594867,80.79292824926198,30.54360524333167,구형 연식도 보유 가치 있음
GV70,SUV,2025.0,2025-02,2026-08,19,5824125.0,7251520.1135135135,32.0,31.0,19945.633561643837,20143.111426426425,0.28012271689497714,0.23715663580246915,0.5687900006607657,0.6620254626333313,2025.0,3,0.6620254626333314,False,0.0,1.0099008068193103,0.96875,0.0932354619725656,0.0,80.71041697393206,0.625,추가 관찰
더 뉴 셀토스,SUV,2024.0,2025-01,2026-08,20,5690260.0,6244348.834319752,56.0,43.0,5747.737373737374,7884.278831211807,0.1423421717171717,0.13936675785634117,1.0,1.0,2024.0,1,1.0,False,0.0,1.3717186987764511,0.7678571428571429,0.0,0.0,80.6068703475929,4.642857142857142,추가 관찰
쏠라티,RV,2025.0,2025-01,2026-08,20,3620905.0,5221770.0,9.0,8.0,10171.081460674157,18131.145833333332,0.06589419475655431,0.07941502700617284,0.58362534170621,0.5174839381647836,2026.0,5,0.32241105414991444,True,1.0,1.7826173060786368,0.8888888888888888,-0.0661414035414265,0.32241105414991444,78.39264293072307,11.704044176128,추가 관찰
G80,LUXURY,2021.0,2025-01,2026-08,20,602710.0,2747089.4117647056,6.0,11.0,2232.259259259259,12718.00653594771,0.04657921810699588,0.18489583333333334,0.07438793274218103,0.18904049287831123,2025.0,4,0.7106212634988327,True,4.0,5.6973698208191035,1.8333333333333333,0.1146525601361302,0.7106212634988327,76.54915708014413,18.65931895248249,추가 관찰
레이,SUV,2022.0,2025-01,2026-08,20,1398340.0,2879217.6174942264,11.0,23.0,1942.138888888889,4998.641697038587,0.05164930555555555,0.1072651427469136,0.1484737535243572,0.1409251735731764,2026.0,5,0.19382535662714373,True,4.0,2.5737817854511653,2.090909090909091,-0.0075485799511808005,0.19382535662714373,75.13466194147043,11.209323547454389,추가 관찰
투싼,SUV,2024.0,2025-01,2026-08,20,3449606.666666667,4717921.75,29.0,29.0,7665.792592592593,13105.338194444445,0.16482253086419751,0.2257716049382716,0.23229424211546645,0.1294018315933367,2026.0,5,0.19569866433706795,True,2.0,1.7095868478241962,1.0,-0.10289241052212975,0.19569866433706795,75.0987162499924,11.051176385941208,추가 관찰
쏘렌토,SUV,2023.0,2025-01,2026-08,20,462120.0,4868616.285714285,4.0,22.0,733.5238095238095,9659.952947845804,0.014958112874779541,0.1486469356261023,0.052798055890852943,0.2010329482494635,2024.0,5,0.6984395137632284,True,1.0,13.169242528223961,5.5,0.14823489235861054,0.6984395137632284,74.97573892991238,12.476592706448427,구형 연식도 보유 가치 있음
미니,IMPORTED,2025.0,2025-02,2026-08,19,4234797.075169679,8231991.006131066,33.0,40.0,11028.117383254372,10393.928038044276,0.1761429398148148,0.10594223484848486,0.4203127378090671,0.6410275075167764,2025.0,3,0.6410275075167764,False,0.0,0.9424934172197804,1.2121212121212122,0.2207147697077093,0.0,74.5096633209868,2.0127303973076853,추가 관찰
투싼,SUV,2023.0,2025-01,2026-08,20,1036600.0,3027742.6055194805,9.0,18.0,1645.3968253968253,6007.425804602144,0.04090608465608465,0.11722056878306879,0.06980396162370951,0.0830440731127858,2026.0,5,0.19569866433706795,True,3.0,3.651049833011143,2.0,0.013240111489076292,0.19569866433706795,73.39801040812488,8.935479965056018,추가 관찰
미니,IMPORTED,2022.0,2025-01,2026-08,20,1027355.0,2968562.5714285714,9.0,18.0,1902.5092592592594,6871.672619047619,0.03695601851851851,0.08907696759259259,0.1924873335621473,0.23116282132149746,2025.0,3,0.6410275075167764,True,3.0,3.611899698045675,2.0,0.03867548775935015,0.6410275075167764,73.18085583324769,15.615412612751646,추가 관찰
베뉴,SUV,2022.0,2025-01,2026-08,20,979545.0,801848.4507042253,11.0,9.0,5441.916666666667,5568.392018779343,0.14390432098765432,0.1338252314814815,1.0,1.0,2022.0,2,1.0,False,0.0,1.0232409571589685,0.8181818181818182,0.0,0.0,72.81422713168907,3.6363636363636354,추가 관찰
쏠라티,RV,2026.0,2025-12,2026-08,9,2774526.416666667,3253350.0,6.0,5.0,36993.68555555556,45185.416666666664,0.12148148148148148,0.16478587962962962,0.14820601462193125,0.32241105414991444,2026.0,5,0.32241105414991444,False,0.0,1.2214359285399965,0.8333333333333334,0.1742050395279832,0.0,72.39487772081873,3.3333333333333326,추가 관찰
스타리아,RV,2024.0,2025-01,2026-08,20,5943665.0,7434227.634615384,36.0,33.0,4402.714814814814,6883.544106125356,0.0636738683127572,0.08448431069958848,0.6478267924060968,0.365188923964901,2026.0,4,0.4927162961157018,True,2.0,1.5634771716220937,0.9166666666666666,-0.28263786844119576,0.4927162961157018,71.97167486163654,24.362925846050025,구형 연식도 보유 가치 있음
스포티지,SUV,2025.0,2025-01,2026-08,20,8012519.663260016,11081360.345909465,71.0,61.0,9653.638148506043,11839.060198621224,0.18824882864792503,0.18934740028490027,0.8024429671076396,0.39250249836428525,2026.0,3,0.5290696863856692,True,1.0,1.226383257430608,0.8591549295774648,-0.4099404687433544,0.5290696863856692,71.84125548888912,29.150565453969918,구형 연식도 보유 가치 있음
BMW 420i,IMPORTED,2026.0,2025-11,2026-08,10,16100930.000000002,14134382.5,66.0,49.0,41073.801020408166,32718.47800925926,0.29186685090702946,0.22243119855967078,0.762004419401241,0.6608676055924351,2026.0,3,0.6608676055924351,False,0.0,0.796577798899171,0.7424242424242424,-0.1011368138088059,0.0,71.83167712021748,16.3167647423964,추가 관찰
벤츠,IMPORTED,2021.0,2025-01,2026-08,20,926790.0,2009469.9999999998,7.0,10.0,5148.833333333333,13954.652777777776,0.0744212962962963,0.14660493827160495,0.1262720125462307,0.0848950483500733,2024.0,4,0.4977660104898143,True,3.0,2.7102552897635923,1.4285714285714286,-0.041376964196157384,0.4977660104898143,71.26205717302014,15.12156872519351,추가 관찰
