model_family,vehicle_class,model_year_latest,fleet_vehicle_days,booked_vehicle_days,revenue_krw,avg_age_years,utilization_rate,revenue_per_fleet_day,reservation_count,unique_joined_users,avg_reservation_price_krw,family_year_rank_by_revenue_per_fleet_day
BMW 420i,IMPORTED,2022.0,1768,152.08125,14662125.0,3.6043805612594113,0.08601880656108597,8293.057126696833,67.0,53.0,218837.68656716417,3.0
BMW 420i,IMPORTED,2024.0,2940,590.8069444444444,67992224.0,1.8056125941136205,0.20095474300831442,23126.60680272109,277.0,223.0,245459.29241877256,2.0
BMW 420i,IMPORTED,2026.0,1532,429.0104166666667,56634985.0,0.25007387650878565,0.28003290905134903,36968.00587467363,232.0,187.0,244116.3146551724,1.0
BMW 520i M스포츠,IMPORTED,2026.0,720,90.49513888888889,10490245.0,0.3627652292950034,0.12568769290123458,14569.784722222223,44.0,37.0,238414.6590909091,1.0
BMW X6 xdrive30d M sport,SUPERCAR,2026.0,257,0.0,0.0,0.263696577952844,0.0,0.0,,,,1.0
BMW X7 xdrive40i 하이브리드,SUPERCAR,2025.0,419,21.65277777777778,9355460.0,1.0349075975359343,0.05167727393264386,22328.066825775655,10.0,8.0,935546.0,1.0
BMW Z4 로드스터,IMPORTED,2021.0,1176,206.28194444444443,20578019.0,4.803559206023271,0.17540981670445954,17498.315476190477,109.0,96.0,188789.16513761468,1.0
EV3,EV,2025.0,5430,1147.8729166666667,70222725.8737864,0.8131086976241723,0.21139464395334562,12932.362039371345,506.0,416.0,138871.5909090909,1.0
EV4,EV,2026.0,744,160.94791666666666,12275508.0,0.4394250513347022,0.21632784498207885,16499.33870967742,69.0,63.0,177905.91304347827,1.0
EV6,EV,2022.0,12348,2469.8152777777777,118548970.54016265,3.8042436687200545,0.2000174342223662,9600.661689355577,939.0,732.0,126473.48668796592,1.0
G80,LUXURY,2019.0,196,0.0,0.0,6.134154688569473,0.0,0.0,,,,4.0
G80,LUXURY,2021.0,1764,231.51805555555555,15402769.411764706,4.803559206023271,0.13124606324011084,8731.72869147659,104.0,78.0,150519.13461538462,3.0
G80,LUXURY,2024.0,1764,257.4638888888889,21513025.110497236,1.8056125941136205,0.14595458553791887,12195.592466268274,120.0,87.0,180438.325,2.0
G80,LUXURY,2025.0,2885,1022.4638888888888,91658472.38095237,0.8035592060232717,0.35440689389562874,31770.70099859701,453.0,335.0,202581.2582781457,1.0
GV70,SUV,2021.0,2352,233.81527777777777,17599195.0,4.803559206023271,0.09941125755857898,7482.650935374149,93.0,81.0,189238.6559139785,3.0
GV70,SUV,2023.0,2940,379.06944444444446,27040210.0,2.8049281314168377,0.12893518518518518,9197.350340136054,157.0,125.0,172230.63694267516,2.0
GV70,SUV,2025.0,2632,741.3854166666666,68045490.0,0.8583162217659138,0.28168138931104353,25853.149696048633,318.0,250.0,213979.5283018868,1.0
GV80,SUV,2021.0,1764,165.4361111111111,12242715.0,4.803559206023271,0.09378464348702444,6940.31462585034,54.0,40.0,226716.94444444444,3.0
