model_name,vehicle_class,model_family,model_year_latest,fleet_vehicle_days,booked_vehicle_days,revenue_krw,avg_vehicle_age_years,last_observed_age_years,utilization_rate,revenue_per_fleet_day,old_fleet_vehicle_days,old_booked_vehicle_days,old_revenue_krw,old_utilization_rate,old_revenue_per_fleet_day,reservation_count,unique_joined_users,active_months,avg_reservation_price_krw,avg_rental_hours,old_reservation_count,old_unique_joined_users,old_active_months,old_avg_reservation_price_krw,old_repeat_user_share,old_high_value_user_share,old_revenue_share,class_old_revenue_per_fleet_day_median,old_revenue_vs_class_median,long_hold_score,holding_period_signal,recommended_holding_period_proxy
20년 K5(LPG),MIDSIZE,K5,2020.0,4704,442.0284722222222,14954926.029320851,5.805612594113621,6.609171800136893,0.09396863780234316,3179.1934586141265,1784.0,213.94444444444446,6520221.029320851,0.11992401594419533,3654.8324155385935,177.0,124.0,19.0,86310.22598870056,60.62531073446328,87.0,62.0,8.0,78646.03448275862,0.26436781609195403,0.13793103448275862,0.43599152657373286,1034.9617232543242,3.53136964722364,81.71442589366255,길게 보유 검토,6년+ 장기 보유 검증
20년 올뉴k3(휘),COMPACT,K3,2020.0,5880,277.99305555555554,7451725.0,5.805612594113621,6.609171800136893,0.0472777305366591,1267.3001700680272,2230.0,120.20138888888889,3030166.858108108,0.05390196811160937,1358.8192188825597,108.0,80.0,18.0,68997.45370370371,61.7762037037037,39.0,28.0,7.0,70058.84615384616,0.4358974358974359,0.23076923076923078,0.4066396516387961,407.6530612244898,3.333273678360221,77.01724052717971,추가 관찰,4-6년 구간 모니터링
20년 테슬라 모델3(전기),IMPORTED,테슬라 모델3,2020.0,2940,388.99652777777777,26180921.0,5.805612594113621,6.609171800136893,0.13231174414210128,8905.075170068027,1115.0,141.69444444444446,8346207.229508197,0.12708021923268562,7485.387649783136,190.0,158.0,20.0,137794.32105263157,49.13647368421053,67.0,56.0,8.0,120988.5223880597,0.23880597014925373,0.11940298507462686,0.31878967243009504,2971.95067264574,2.5186782939164223,71.60400771539638,길게 보유 검토,6년+ 장기 보유 검증
19년 올뉴K3(휘),COMPACT,K3,2019.0,5734,180.91805555555555,6184100.0,6.804928131416838,7.60848733744011,0.03155180599155137,1078.4966864318103,5734.0,180.91805555555555,6184100.0,0.03155180599155137,1078.4966864318103,71.0,54.0,8.0,87100.0,61.155352112676056,71.0,54.0,8.0,87100.0,0.29577464788732394,0.09859154929577464,1.0,407.6530612244898,2.6456239116474944,70.94652330115994,길게 보유 검토,6년+ 장기 보유 검증
20년 더 뉴 그랜저(LPG),LUXURY,더 뉴 그랜저,2020.0,1764,166.48958333333334,8642520.0,5.805612594113621,6.609171800136893,0.09438184996220711,4899.3877551020405,669.0,54.80902777777778,2738388.3644859814,0.0819267978741073,4093.256150203261,70.0,53.0,18.0,123464.57142857143,57.08242857142857,20.0,15.0,7.0,131629.25,0.3,0.25,0.31685068295890334,1806.7274837364996,2.2655636708077207,61.75241984293307,추가 관찰,4-6년 구간 모니터링
20년 벤츠 C클래스 카브리올레(휘),IMPORTED,벤츠,2020.0,2352,225.34027777777777,20109180.0,5.805612594113621,6.609171800136893,0.09580794123204837,8549.82142857143,892.0,63.63194444444444,5301960.0,0.07133626058794221,5943.90134529148,110.0,89.0,19.0,182810.72727272726,49.16509090909091,31.0,29.0,8.0,171030.96774193548,0.22580645161290322,0.12903225806451613,0.26365868722643093,2971.95067264574,2.0,57.63229883532494,추가 관찰,4-6년 구간 모니터링
20년 SM6(휘),MIDSIZE,SM6,2020.0,1176,77.75347222222223,2251885.0,5.805612594113621,6.609171800136893,0.06611689814814815,1914.8681972789116,446.0,33.27777777777778,996655.0,0.07461385151968111,2234.652466367713,30.0,20.0,15.0,75062.83333333333,62.202999999999996,13.0,9.0,6.0,76665.76923076923,0.23076923076923078,0.07692307692307693,0.4425869882343015,1034.9617232543242,2.1591643595679,57.61028730096466,추가 관찰,4-6년 구간 모니터링
19년 더뉴그랜드스타렉스12인(경유),RV,더뉴그랜드스타렉스12인,2019.0,1176,82.96180555555556,5904315.0,6.804928131416838,7.60848733744011,0.07054575302343159,5020.676020408163,1176.0,82.96180555555556,5904315.0,0.07054575302343159,5020.676020408163,35.0,29.0,16.0,168694.7142857143,56.888285714285715,35.0,29.0,16.0,168694.7142857143,0.42857142857142855,0.4,1.0,3064.497444633731,1.6383358482481079,54.28707710075551,추가 관찰,4-6년 구간 모니터링
20년 더 뉴 그랜저(휘),LUXURY,더 뉴 그랜저,2020.0,2352,277.00555555555553,14977100.0,5.805612594113621,6.609171800136893,0.11777447089947089,6367.81462585034,892.0,55.041666666666664,3223201.8309859154,0.0617059043348281,3613.454967472999,112.0,87.0,16.0,133724.10714285713,59.35830357142857,23.0,18.0,4.0,131748.26086956522,0.34782608695652173,0.2608695652173913,0.21520867397466234,1806.7274837364996,2.0,52.86490949878277,추가 관찰,4-6년 구간 모니터링
20년 쏘나타DN8(LPG),MIDSIZE,쏘나타,2020.0,8232,1553.8326388888888,54336310.0,5.805612594113621,6.609171800136893,0.18875517965122557,6600.6207482993195,3122.0,185.04097222222222,5489560.0,0.05927001032101929,1758.3472133247917,684.0,536.0,20.0,79439.04970760235,54.52048245614036,68.0,58.0,8.0,80728.82352941176,0.29411764705882354,0.14705882352941177,0.10102931170703347,1034.9617232543242,1.6989490275986834,52.35960107116669,길게 보유 검토,6년+ 장기 보유 검증
